Equity issue,Day,Description,Section,Type,
1895-01-03,n/a, S. A. McKay BCL. NOTARY PUBLIC. Clerk of the Magistrates COurt at Shawville. Agent for the Credit Founder Franco Canadian. Money to lend on easy terms. Will be in Shawville from Monday till Friday of each week. Will visit Quyon the second Tuesday of each month.,advertisement,arrival,
1895-01-03,n/a,  Miss Lyla McLean of Eardley has been a guest of Miss Lorena Hodgins for the last few days.,Local and general,arrival,
1895-01-03,n/a,Miss Carey of the Fort is spending the holidays at Mr. Robert Smart's.,Parkman notes,arrival,
1895-01-03,n/a,An amateur fox hunt took place at Elmside,Bristol notes,event,
1895-01-03,n/a,The annual congregational meeting of the Presbyterian church was held on Friday evening 28th and notwithstanding the severity of the weather was well attended,Bristol notes,church,
1895-01-03,n/a,Mrs. E. Graham gave a six o'clock dinner to a number of her many friends,Bristol notes,event,
1895-01-03,n/a,Miss C. Dunkerley late principal of the academy is visiting her acquaintances here this week,Local and General,arrival,
1895-01-03,n/a,Mr. A. Grimes and bride of Ottawa are the guests of Mr. B. Smart,Parkman notes,arrival,
1895-01-03,n/a,Miss E. L. McJanet has gone to spend the holidays with her parents.,Parkman notes,departure,
1895-01-03,n/a,Miss Amelia Smart is home for the holidays,Parkman notes,arrival,
1895-01-03,n/a,  The Ven. Archdeacon Naylor has been holding a series of cottage meetings which are well attended and appreciated.,Parkman notes,church,
1895-01-03,n/a,Mrs Wm. Lochart and two daughters from Edmonton are visiting friends here.,Parkman notes,arrival,
1895-01-03,n/a,Mr. F. S. Roy is spending a few days at home.,Elmside notes,arrival,
1895-01-03,n/a,Miss Annie and Agnes Murray and Mr. Letts of Calumet Island also mr. Larivee of Arnprior spent New Year with Mr. Andrew Grant.,Elmside notes,arrival,
1895-01-03,n/a,Mr. Syvanus Richards of Arnprior is visiting friends here at the present.,Elmside notes,arrival,
1895-01-03,n/a,Miss Grace McKechnie spent a few days in Elmside last week.,Elmside notes,arrival,
1895-01-03,n/a,A few of our sportsmen tried to make Xmas a little exciting by organizing a fox hunt. ,Elmside notes,event,
1895-01-03,n/a,Mr. Alex Stewart returned home a few days ago and intends remaining with us.,Elmside notes,arrival,
1895-01-03,n/a,Miss Jessie McPherson of Almonte is visiting friends here,Elmside notes,arrival,
1895-01-03,n/a,Mr. W. Finlan and sister Miss Mary spent a few days in Renfrew last week. The Misses Finlan are home for their holidays.,Elmside notes,arrival,
1895-01-03,n/a,Mr. Eddie Larivee just landed in town to spend New Year.,Elmside notes,arrival,
1895-01-03,n/a,Mr. S. Richard and daughter Miss Jennie May are visiting friends at Elmside.,Elmside notes,arrival,
1895-01-03,n/a,Mrs. Ale McDonald and daughter Miss Mabel of Pembroke is visiting her father Mr. R. Campbell,Elmside notes,arrival,
1895-01-03,n/a,  Mr. J.Y. Caldwell manager of W.C. Gibson's biscuit factory was presented with a gold headed cane by the employes of the above named firm last week, Elmside notes,event,
1895-01-03,n/a,  Miss Grace McKechnie principal of Thurso public school Miss MacIntosh teacher of no. 8 school Clarendon were visiting at Mr James Armstrong's last week., Clarendon front notes,arrival,
1895-01-03,n/a, Parties are all the rage around here just now: On Xmas night Mr. Edward Graham welcomes the juvenile host and gave a party. Saturday night saw one at Mr. Andrew Grant's. Monday night we took possession of Mr. McKechnie's house and paid our last respects to the old year by seeing it out. Tuesday night we are billed for Mr. William Graham's and Wednesday night wind up at Mr. Lothian's to give George a lively send off before he returns to Ottawa to resume his studies., Elmside notes,event,
1895-01-03,New Year's,A watch service was held in the Methodist church here on New Year's eve.,Local and General,church,
1895-01-03,New Year's,  Tom and Billy and Artie and Harry of Quio put up for an hour or so in the village whilst on their way to the concert at Bryson on New Year's.,Local and general,arrival,
1895-01-03,New Year's,  There was a very large attendance at the social held at the parsonage on New Year night. A good program of music and addresses by the Archdeacon and Rev. A. Elliott and Mr. T.J. Wilson embraced the chief features of the evening's entertainment.,Local and general,event,
1895-01-03,New Year's,  The concert at Bryson on New Year night is reported to have been a very successful affair. The hall was well filled and the program  supplied by local talent strongly reinforced by a contingent of Pembroke amateurs was well selected and excellently rendered throughout. The net receipts amounted to $35.,Local and general,event,
1895-01-03,New Year's,  Several of our young people attended the concert at Bryson on New Year's night., Parkman notes,event,
1895-01-03,Saturday,  Father Dawson one of the best known and most respected priante in the Ottawa Valley died at Ottawa on Saturday aged 86 years.,Local and General,death,
1895-01-03,Saturday, Mr. R.W. Hodgins late teacher of the Model school spent Saturday in this village., Clarendon front notes,arrival, 
1895-01-03,Sunday,  Mr. W. G. Bradford of the Thorne Methodist circuit spent his Xmas holidays at Listowel Ont. The Listowel Banner states that our young friend had consented to conduct the services in the Baptist church there on Sunday 30th in the absence of the pastor.,Local and General,church,
1895-01-03,Sunday, Mr. Elliott of Haley's station preached in Zion church on Sunday 30th.,Local and General,church,
1895-01-03,Thursday, ARTHUR McCONNELL Attourney at Law Main St. Hull Que will at request attend all courts in the district. All correspondence promptly answered. Will be at Shawville first Thursday of each month, advertisement,arrival,
1895-01-03,Thursday,On Thursday evening last the annual installation of officers of the Pontiac Lodge No. 40 A. F. & A. M. took place in the Masonic Hall here,Local and General,event,
1895-01-03,Tuesday,  The daily mail between here and Otter Like began on Tuesday last with Mr. Samuel Howes as courier.,Local and general,event,
1895-01-03,n/a,  DENTISTRY DR. STACKHOUSE Sr. Dentist will visit the undermentioned places on the dates named: Quyon Tuesday Jan. 8th. Shawville Wednesday Jan 9th. Campbells Bay Thursday Jan 10th., advertisement,arrival,
1895-01-03,Wednesday,Mr. Henry Judd was joined in wedlock on Wednesday 19th to Miss Mary Ebert.,Greer Mount notes,event,
1895-01-03,Wednesday, Maurice Chevalier L.L.L. Advocate Bryson W SPECIAL ATTENTION GIVEN TO ALL COLLECTIONS. Visits Quyon on second and last Wednesday of very month. Will visit Shawville on the first and third Wednesday of every month., advertisement,arrival,
1895-01-03,Wednesday, Dr. W.C. McGUIRE VETERINARY SURGEON Graduate of McGill University of Montreal Office -- 88 Lyon St. Ottawa Will visit Shawville on the first and third Wednesday of every month, advertisement,arrival,
1895-01-03,Wednesday, Dr. W.C. McGUIRE VETERINARY SURGEON Graduate of McGill University of Montreal Office -- 88 Lyon St. Ottawa Will visit Shawville on the first and third Wednesday of every month, advertisement,arrival,
1895-01-10,05-Jan,Diptheria has made its appearence in this locality proving fatal in one case - the seven year old daughter of Mr John A. Cameron, notes from Murell's Settlement,death,
1895-01-10,21-Dec,a Xmas tree held here Dec 21st. The evening was favourable and the audience all that could be desired to make the entertainment a success. The proceeds amounted to $20 to be applied towards building a woodshed school, Local and General,event,
1895-01-10,27-Dec, At Shawville on Dec. 27th the wife of Mr John M Hodgins of a son, local and general,birth,
1895-01-10, Monday, Public notice is hereby given to all owners of real estate and resident house holders of the municipality of the village of Shawville that a meeting of the municipal electors will be held in the council Hall on Monday the 14th day of January 1895 at the hour of ten o'clock in the forenoon to proceed with the election of three councillors in the room and stead of James Prendergast Thos. Dale and John Lester whose term of office has expired., public notice,event,
1895-01-10, Monday, Public notice is hereby that a public meeting of the proprietors of real estate and resident house holders of this municipality  that a meeting of the municipal electors will be held in the town hall in the village of one thousand eight hundred and nintety-five at the hour of ten o'clock in the morning to proceed with the election of two councillors in the room and stead of Jphn Murray and James Wilson whose terms of office have expired., public notice,event,
1895-01-10,16-Dec,On the 16th inst in Litchfield school one of the lady members purpose giving a speech on the Patrons, Notes from Murell's Settlement,event,
1895-01-10,Christmas, to the wife of Jas. L. Shaw on Dec. 25th '94 a daughter., local and general,birth,
1895-01-10,Friday,All the services will be held as usual except the Friday night services., Local and General,church,
1895-01-10,Friday,At 436 Maria St on the 4th inst to the wife of H.T Smith a daughter, local and general,birth,
1895-01-10,Friday,At fort coulonge on Friday Jan 4th to the wife of John Bryson M.P. of a daughter,local and general,birth,
1895-01-10,Friday,Mr. J.T. Pattison of the Advance is announced to preach in the Methodist church here on Sunday next, local and general,church,
1895-01-10,Friday,A grand carnival will be held in the skating rink here on Friday evening next. Admission adults 15 cents children 10 c. costumed skaters admitted free. Everybody welcome, local and general,event,
1895-01-10,Monday,  Mr. Borthwick was elected mayor of Ottawa on Monday over Mr. Cluff., Local and general,event,
1895-01-10,Monday,Miss Bella Armstrong of Ramsay aged 25 was killed in jumping from a moving train at Almonte station on Monday of last week, local and general,death,
1895-01-10,Monday, Willie Ringrose left last Monday for the woods. Who next?, Notes from Murell's Settlement,departure,
1895-01-10,Monday, Minutes of a regular session of the municipal council of the village of Shawville held on Monday the 18th of January 1895, Shawville Council Minutes,event,
1895-01-10,n/a,  Mr. B. McGrath school inspector was town on Monday and Tuesday last, local and general,arrival,
1895-01-10,n/a,Miss C. C. Wilson has left for Carthage New York where she intends visiting friends for some time,Local and general,departure,
1895-01-10,n/a,Mrs. H. Argue has gone to visit her daughter Mrs. Rev. Wm. Knox of Addison Ont.,Local and general,departure,
1895-01-10,n/a, at the Parsonage West shefford Que the wife of the Rev. S. A. mills of a son, local and general,birth,
1895-01-10,n/a,  Dr. W. C. McGuire D.V.S. has left for Mattawa where he intends practicing during the winter months. ,Local and General,departure,
1895-01-10,New Year's,The concert held in Walsh's Hall Bryson on New Years night proved quite a success, Local and General,event,
1895-01-10,New Year's, Mr. and Mrs. R. Cuthbertson spent New Year's day with their daughter Mrs. C. Stewart,Notes from Murell's Settlement, arrival,
1895-01-10,Saturday,on Saturday morning Dec 29th Mr. Thomas G. Somerville an old resident of Fitzroy was found dead in his chair beside the kitchen fire, local and general,death,
1895-01-10,Sunday,Mr. J. T. Pattison of the Advance is announced to preach in the Methodist church here on Sunday next.,Local and general,church,
1895-01-10,Sunday,The Rev. W.C. Dilworth will conduct the service Sunday morning and the Rev. J. L. Flanain the evening., Local and General,church,
1895-01-10,Sunday,Mr. Wm. Wilson student conducted the service in the Methodist church on Sunday evening last, local and general,church,
1895-01-10,Thursday, Archdeacon Naylor leaves tomorrow (Thursday) morning for Montreal to attend committee meetings this week and the Synod of the Diocese next week. He will return the 18th or the 19th., Local and General,church,
1895-01-10,Thursday, Mr. J.H. Shaw began the removal of his stock into his magnificent new store on Thursday last., local and general,event,
1895-01-10,Tuesday, as provided for by the terms of the Dominion Electoral Franchise Act. The revision of the lists for this village and the municipality of Clarendon took place on Tuesday last., local and general,event,
1895-01-10,Tuesday,Mr. Alf McRae. left on Tuesday for Belleville where he intends taking a course in the business college there, local and general,departure,
1895-01-10,Tuesday, There will be offered for sale by public auction at the Russell House Ottawa on Tuesday the 11th day of March next 1895 at 3 o'clock P.M. the Pine Spruce and Tamarac Timber, advertisement,event,
1895-01-10,Wednesday,At Shawville on Jan 2nd the wife of Dr. H. H. Knox a son, local and general,birth,
1895-01-10,Wednesday, Mr. Robert McKenney of Onslow agent for the Egan estate was in town on Wednesday last settling taxes and transacting other business for the estate of which he is the sole agent in the county, local and general,arrival,
1895-01-10,Wednesday,He intends however paying a professional visit to this village the second Wednesday of every month,Local and General,arrival,
1895-01-17,Friday, Several of the young people of Portage du Fort attended the Carnival here on Friday evening last., Local and General,arrival,
1895-01-17,Friday, The carnival held on Friday evening on the skating rink was only very slimly attended which was rather discouraging, Local and General,event,
1895-01-17,Friday, her remains were interred at North Clarendon on Friday a very large number of friends and acquaintances attending the obsequies, Local and General Death,death,
1895-01-17,Monday, Renfrew elected its first town council on Monday of last week as follows, Local and General,event,
1895-01-17,Monday, Mr. Campbell of Dundas Ont. Grand Lecturer of the Canadian Order of Chosen Friends addressed a small audience here on Monday evening last in the interesys of the Order, Local and General,event,
1895-01-17,n/a, S. A. MCKAY BCL. NOTARY PUBLIC. Clerk of the Magistrates COurt at Shawville. Agent for the Credit Founder Franco Canadian. Money to lend on easy terms. Will be in Shawville from Monday till Friday of each week. Will visit Quyon the second Tuesday of each month., advertisement,arrival,
1895-01-17,n/a, S. A. MCKAY BCL. NOTARY PUBLIC. Clerk of the Magistrates COurt at Shawville. Agent for the Credit Founder Franco Canadian. Money to lend on easy terms. Will be in Shawville from Monday till Friday of each week. Will visit Quyon the second Tuesday of each month., advertisement,arrival,
1895-01-17,n/a,Mrs. Wm. Eades has gone on a visit to her daughter Mrs. Wm. Steele,Radford notes,departure,
1895-01-17,n/a,Miss Annie Jones of Eau Claire is the guest of Mrs. George Richardson,Radford notes,arrival,
1895-01-17,n/a,Mr. Little's are around again after being closed in on account of diphtheria,Clarendon Front Notes,event,
1895-01-17,New Year's, Quite a number of young folks gathered at the house of Mrs. T. Richardson on New Year's night and spent the evening in social amusements, Radford Notes,event,
1895-01-17,Saturday, Mrs. John Bradley of Eardley and son Wellington who have been visiting friends in this neighbourhood for the past week returned home on Saturday accompanied by Miss Annie Grant, Radford Notes,arrival,
1895-01-17,Saturday,  Mr. J. H. Brownlee proprietor of the Shawville skating rink wishes it to be / announced that he will give a carnival on Saturday night of this week to the boys and girls under 16 years of age. Admission to spectators over that age (except ticket holders who will be admitted free) will be 10 cents. The carnival will be open at 7 o'clock. Ice will be open to all skaters at half past 8 o'clock. It is hoped that a goodly number of the juvenile skaters of the village will avail themselves of this opportunity to appear in costume., Fun for the Youngsters,event,
1895-01-17,Sunday, In consequence of the illness of Rev. Mr. Dilworth that rev. gentleman was unable to conduct the service in St. Paul's church on Sunday morning last as announced therefore none was held till evening when the Rev. J. L. Flanagan officiated., local and general,church,
1895-01-17,Thursday, ARTHUR McCONNELL Attourney at Law Main St. Hull Que will at request attend all courts in the district. All correspondence promptly answered. Will be at Shawville first Thursday of each month, advertisement,arrival,
1895-01-17,Tuesday,Mr. Andy Farrell of Otter Lake payed a visit to Radford on Tuesday and returned Wednesday,Radford notes,arrival,
1895-01-17,Wednesday, Dr. W.C. McGUIRE VETERINARY SURGEON Graduate of McGill University of Montreal Office -- 88 Lyon St. Ottawa Will visit Shawville on the first and third Wednesday of every month, advertisement,arrival,
1895-01-17,Wednesday, the death of Mrs. Samuel Hamilton of Clarendon who breathed her last on Wednesday of last week,Local and General death,death,
1895-01-17,Wednesday, on Wednesday evening last Court Shawville I.O.F. was put upon what may be regarded as a fairly good working basis by the installation of a new staff of officers to transact the business of the current year, Local and General,event,
1895-01-17,Wednesday, Wednesday was also made memorable by the uniting in matrimony of Mr. Edward third son of Mr. Richard Dagg with Miss Jennie second daughter of the late John Sturgeon all of Clarendon, Clarendon Front Notes,event,
1895-01-31,n/a,  Miss Fanny Hill is spending a few days visiting her parents., Thornby notes,arrival,
1895-01-31, Tuesday, Dr. A. Lyon left on Tuesday to attend the annual communication of the Masonic Grand Lodge of Quebec, Local and General,departure,
1895-01-31, Tuesday, Mrs. John McTiernan of Clarendon passed away at two o'clock on Tuesday morning last, Local and General death,death,
1895-01-31, Wednesday, On Wednesday morning Jan 16th Mrs. Joseph Dowe of Onslow passed peacefully away at the age of 30 years. The Rev. Mr. Austin preached the funeral sermon after which the remains were interred in the Eardley cemetary, Local and General,death,
1895-01-31,Monday,Our heart goes forth in the deepest of sympathy to our confrere Mr. W. . Cliff editor and proprietor of the Carleton Place Central Canadian who has been called upon to sustain a great affliction in the death of his beloved wife which took place on Monday last after a short but severe illness,Local and general,death,
1895-01-31,Monday, Captain Mulligan wife and Miss Mulligan of Pembroke are spending a few days with their relatives here, Quyon,arrival,
1895-01-31,Monday, Dr. Groves who has been unable to attend to his professional duties on account of a very sore hand spent a few days with his brother Dr Groves of Carp Ont. and returned home on Monday much improved,Quyon,arrival,
1895-01-31,n/a,Miss Mary J. Bell was the guest of Miss Bessie Rutledge Concession St. during carnival week.,Quyon,departure,
1895-01-31,n/a,"There was a goodly representation of Pontiackers at the Ottawa Carnival last week, especially during the closing days of that noteworthy and remarkably successful affair",The Ottawa Carnival's Success,event,
1895-01-31,n/a,The Misses M. and A. Brownlee have returned home from Ottawa afrer a few weeks' visit.,Radford notes,arrival,
1895-01-31,n/a,The Rev. Mr. Eason has been holding special meetings for the last six weeks.,Radford notes,church,
1895-01-31,n/a,Miss Lizzie Richardson who for the past six months has been living at Carleton Place has returned home for a few weeks' visit accompanied by Miss D. Hamilton.,Radford notes,arrival,
1895-01-31,n/a,Times are very dull around here since the young men have gone to the woods. Some of the young ladies are very lonely.,Radford notes,event,
1895-01-31,Saturday,"Claude McLachlin Esq. left for New York last week from which port he sailed for England on Saturday per steamer ""Lucania"" of the Cunard Line. Mr. McLachlin goes to Europe on a business trip and expects to be gone about six weeks.",Local and general,departure,
1895-01-31,Sunday,Miss Mulligan of Pembroke Miss K. McLean of the St. Lawrence Hall and Mr. W. E. Rowan of Arnprior spent Sunday at Maryland the guests of Mr. Dan. Smith.,Quyon,arrival,
1895-01-31,Sunday,Mr. H. J. Ferguson spent Sunday with his many friends in Ottawa.,Quyon,departure,
1895-01-31,Sunday,Mr. John McAdam Contrsector of Nova Scotia spent Sunday at the St. Lawrence Hall, Quyon,arrival,
1895-01-31,Thursday, ARTHUR McCONNELL Attourney at Law Main St. Hull Que will at request attend all courts in the district. All correspondence promptly answered. Will be at Shawville first Thursday of each month, advertisement,arrival,
1895-01-31,Thursday, At our patron meeting held at Lichfield on the 17th we had the pleasure of Mr. Craig's company. His speech was listened to with much attention also that of Miss A. Bolam. At the next meeting held in No. 8 on Feb. 7th it was decidedd to have a taffy pull at the close of the meeting, Notes from Murrell's Settlement,event,
1895-01-31,Tuesday, Another fatal case of diptheria occured in the village on Tuesday morning a little boy of Mr. Thomas Lewis' having succumbed to the disease, Local and General,death,
1895-01-31,Tuesday, There are no new cases of diptheria here consequently school will re-open on the 28th, Notes from Murrell's Settlement,event,
1895-01-31,Wednesday,On Wednesday the 16th a large number of our most influential citizens called at the domicile of our very obliging and efficient and ever painstaking bus driver Mr. Wm Richardson and presented him with a handsomely filled purse and a suitable bag for his business as a token of their most sincere appreciation for his faithfulness and strict attention to duty, Quyon,event,
1895-01-31,Wednesday,"Mrs. R. Richardson had a sewing ""bea"" on Wednesday last. Quite a number of young ladies attended.",Radford notes,event,
1895-01-03,n/a,Miss J. McDowell contemplates a visit to friends across the Ottawa river shortly.,Greer Mount notes,departure,
1895-01-31,n/a,Mrs.Geo. McDermott of Bristol is visiting her sister Mrs. Jas. C. Williams of Arnprior.,Local and general,departure,
