"","words","term.freq","doc.freq"
"337","troubles",1,1
"338","annexation",1,1
"339","tbs",0,0
"340","islands",1,1
"341","favor",2,2
"342","arbitration",1,1
"343","matters",1,1
"344","die",2,2
"345","britain",5,5
"346","lippert",1,1
"347","arrested",10,10
"348","cin",1,1
"349","krederiok",1,1
"350","pollock",1,1
"351","oorpu",1,1
"352","professor",1,1
"353","cinnatl",1,1
"354","crimes",1,1
"355","committed",9,9
"356","cape",2,2
"357","jurisprudence",1,1
"358","oxford",1,1
"359","editor",3,2
"360","colony",2,2
"361","law",4,4
"362","review",1,1
"363","chosen",1,1
"364","women",2,2
"365","glasgow",4,3
"366","shops",2,1
"367","recent",1,1
"368","report",8,8
"369","receive",3,3
"370","hair-dressers",1,1
"371","milliners",1,1
"372","tobaccoists",1,1
"373","overseers",1,1
"374","begin",1,1
"375","rise",1,1
"376","year",21,20
"377","woman",2,2
"378","sole",1,1
"379","charge",9,9
"380","shop",5,5
"381","received",15,15
"382","hours",12,12
"383","meals",3,2
"384","brought",10,10
"385","sanitary",1,1
"386","conveniences",1,1
"387","rare",1,1
"388","worked",1,1
"389","a.m",4,4
"390","till",10,9
"391","saturdays",3,3
"392","wss",1,1
"393","allowed",2,2
"394","europeon",1,1
"395","countries",0,0
"396","including",3,3
"397","france",6,6
"398","belgium",1,1
"399","elections",4,4
"400","proprietor",2,2
"401","skating",2,2
"402","rink",1,1
"403","wishes",1,1
"404","announced",7,7
"405","carnival",4,3
"406","boys",7,7
"407","girls",2,2
"408","age",11,10
"409","admis",1,1
"410","sion",2,2
"411","spectators",2,2
"412","ticket",2,2
"413","holders",1,1
"414","addiuitted",1,1
"415","free",4,4
"416","cents",5,4
"417","open",9,8
"418","ice",2,2
"419","skaters",3,2
"420","half",2,2
"421","past",6,6
"422","hoped",3,3
"423","goodly",2,2
"424","number",9,9
"425","juvenile",1,1
"426","avail",1,1
"427","opportunity",3,3
"428","cos",1,1
"429","tume",1,1
"430","smiley",2,2
"431","parents",8,8
"432","miners",1,1
"433","entombed",0,0
"434","colliery",1,1
"435","disaster",1,1
"436","hantley",1,1
"437","cloth",1,1
"438","healette",0,0
"439","mantles",1,1
"440","capes",1,1
"441","government",16,15
"442","official",2,2
"443","num",1,1
"444","mias",1,1
"445","fanny",1,1
"446","hill",3,3
"447","visiting",8,8
"448","operatic",1,1
"449","star",1,1
"450","critically",1,1
"451","ill",3,3
"452","london",24,23
"453","killed",6,6
"454","end",8,8
"455","sufferers",1,1
"456","greater",2,2
"457","moments",1,1
"458","sudden",1,1
"459","ter",3,3
"460","arty",1,1
"461","tie",1,1
"462","eng",1,1
"463","konzie",1,1
"464","bowel",0,0
"465","moment",2,2
"466","questioned",1,1
"467","prospect",3,3
"468","thick",1,1
"469","growth",1,1
"470","mangled",1,1
"471","driver",2,1
"472","horse",8,8
"473","frightful",1,1
"474","smashed",2,2
"475","cutter",3,3
"476","kindling",1,1
"477","wood",4,4
"478","express",4,4
"479","timed",1,1
"480","arrive",1,1
"481","sarnia",1,1
"482","make",4,4
"483","rushed",1,1
"484","representation",1,1
"485","pontiackers",1,1
"486","closing",2,2
"487","noteworthy",1,1
"488","reoiaikabiy",1,1
"489","sue",3,3
"490","cvssful",1,1
"491","affair",3,3
"492","ihe",5,5
"493","appeaiance",1,1
"494","capital",6,6
"495","noun",1,1
"496","conclude",1,1
"497","parts",1,1
"498","pontiac",9,9
"499","largely",5,5
"500","represented",2,2
"501","sucii",1,1
"502","immense",1,1
"503","throng",1,1
"504","peo",1,1
"505","pie",1,1
"506","witnessed",3,3
"507","wedneaday",1,1
"508","inst",7,7
"509","wife",11,11
"510","streets",4,4
"511","progress",2,2
"512","iloi",1,1
"513","won",4,4
"514","nesday",4,4
"515","smart",2,2
"516","waa",4,4
"517","attended",5,5
"518","appreciated",1,1
"519","thorne",7,7
"520","rimer",2,2
"521","fort",8,8
"522","today",4,4
"523","rag",0,0
"524","bees",1,1
"525","order",16,16
"526","ormw",1,1
"527","nnbiighm",1,1
"528","sin",2,2
"529","endebied",1,1
"530","toronto",19,14
"531","con",7,7
"532","wlthorspoon",1,1
"533","continues",1,1
"534","enter",2,2
"535","sir",7,7
"536","donald",3,3
"537","visited",1,1
"538","cambridge",2,2
"539","university",5,4
"540","connection",4,4
"541","selection",1,1
"542","principal",3,3
"543","mcgill",2,2
"544","barge",2,2
"545","petrel",2,2
"546","laden",1,1
"547","powder",1,1
"548","shot",5,5
"549","shell",2,2
"550","blew",1,1
"551","gravesend",1,1
"552","kng",1,1
"553","trace",0,0
"554","found",14,14
"555","congre",2,2
"556","alfred",1,1
"557","loomis",1,1
"558","eminent",1,1
"559","phy",1,1
"560","library",2,2
"561","custody",1,1
"562","chance",3,3
"563","find",2,2
"564","letter",4,3
"565","james",13,12
"566","gazette",3,3
"567","advocated",2,2
"568","appointment",1,1
"569","captain",2,2
"570","mahan",1,1
"571","navy",2,2
"572","regius",1,1
"573","professorship",1,1
"574","history",2,2
"575","succession",1,1
"576","prof",2,2
"577","seeley",1,1
"578","recently",7,7
"579","deceased",8,8
"580","governor",2,2
"581","general",13,13
"582","lady",2,2
"583","division",1,1
"584","worcester",2,2
"585","resulted",1,1
"586","deen",1,1
"587","tendered",2,2
"588","reception",2,2
"589","satur",1,1
"590","ayes",1,1
"591","nays",1,1
"592","bomb",1,1
"593","warn",8,8
"594","exploded",2,2
"595","water-tight",1,1
"596","compartments",1,1
"597","wheels",2,2
"598","submerged",1,1
"599","tenth",1,1
"600","pity",0,0
"601","van",2,2
"602","horne",0,0
"603","continent",1,1
"604","leaves",4,4
"605","teutonic",1,1
"606","pounds",2,2
"607","pork",3,3
"608","sold",3,3
"609","chatham",2,2
"610","market",2,2
"611","judge",4,4
"612","gayner",0,0
"613","supreme",2,2
"614","court",11,10
"615","brooklyn",7,6
"616","reserved",1,1
"617","decision",2,2
"618","application",1,1
"619","writ",1,1
"620","mandamus",1,1
"621","compel",2,2
"622","heights",1,1
"623","railroad",2,2
"624","run",4,4
"625","cars",2,2
"626","schieren",1,1
"627","strike",1,1
"628","affect",1,1
"629","convenience",3,3
"630","col",3,3
"631","appleton",1,1
"632","regiment",1,1
"633","peeled",1,1
"634","relieved",1,1
"635","detail",3,3
"636","master",4,4
"637","workman",1,1
"638","connelly",2,2
"639","maintains",1,1
"640","strikers",4,2
"641","win",2,2
"642","dozen",2,2
"643","applied",1,1
"644","reinstatement",1,1
"645","put",4,4
"646","work",17,17
"647","street",8,8
"648","car",5,4
"649","officials",3,3
"650","glad",2,2
"651","back",3,3
"652","displace",1,1
"653","running",5,5
"654","create",1,1
"655","appetite",1,1
"656","tone",1,1
"657","p*rt",1,1
"658","country",10,9
"659","digging",0,0
"660","hey",1,1
"661","eod",1,1
"662","wllhout",1,1
"663","reserve",3,3
"664","xtotart",1,1
"665","clerk",6,6
"666","magi",1,1
"667","oourtat",1,1
"668","hhawvllle",1,1
"669","agent",4,4
"670","credl",1,1
"671","ler",1,1
"672","franco",4,4
"673","canadian",11,11
"674","lend",3,3
"675","easy",4,4
"676","terme",1,1
"677","shawvllle",3,3
"678","quyoti",1,1
"679","sash",1,1
"680","w&inesday",1,1
"681","we*k",1,1
"682","annual",4,4
"683","election",8,8
"684","officers",4,4
"685","county",11,11
"686","orange",1,1
"687","lodge",5,5
"688","result",4,4
"689","husband",3,3
"690","fall",5,5
"691","owing",2,2
"692","storm",1,1
"693","lamt",1,1
"694","section",2,2
"695","appeared",5,5
"696","equity",5,5
"697","mall",1,1
"698","clarke",3,3
"699","purchaser",1,1
"700","hag",2,2
"701","fine",4,4
"702","team",4,3
"703","lant",1,1
"704","driving",2,2
"705","midnight",1,1
"706","train",8,6
"707","reach",2,2
"708","til.ck.mith",1,1
"709","mckees",1,1
"710","station",9,9
"711","diphthen",1,1
"712","untrue",1,1
"713","rip",1,1
"714","stetson",0,0
"715","member",6,6
"716","stall",1,1
"717","eryw",1,1
"718","ers",2,2
"719","common",1,1
"720","waehed-oul",1,1
"721","wines",1,1
"722","arthur",3,3
"723","balfour",1,1
"724","unionist",1,1
"725","leader",4,4
"726","debate",2,2
"727","amendment",1,1
"728","gave",5,5
"729","details",3,3
"730","industrial",1,1
"731","distress",1,1
"732","lancashire",1,1
"733","stood",2,2
"734","face",2,1
"735","nnan",1,1
"736","cial",1,1
"737","agricultural",2,2
"738","commercial",3,3
"739","crisis",1,1
"740","consequent",1,1
"741","demand",2,2
"742","gov-eminent",1,1
"743","light",4,4
"744","opinions",1,1
"745","circumstances",1,1
"746","affecting",1,1
"747","social",2,2
"748","quick",1,1
"749","action",7,6
"750","misfortune",1,1
"751","prevented",1,1
"752","utterance",1,1
"753","line",6,6
"754","omes",1,1
"755","brunswick",2,2
"756","yince",1,1
"757","liberal",2,2
"758","premier",6,6
"759","liber",2,2
"760","majority",4,4
"761","control",1,1
"762","lira",1,1
"763","budget",1,1
"764","address",4,4
"765","mitchell",1,1
"766","told",2,2
"767","evil",1,1
"768","habit",3,3
"769","sre",3,3
"770","prevalent",1,1
"771","thousand",7,7
"772","fount",1,1
"773","wreckedby",1,1
"774","bad",4,4
"775","habita",1,1
"776","abase",1,1
"777","todssos",1,1
"778","tea",1,1
"779","spirits",1,1
"780","puls",1,1
"781","prevention",1,1
"782","previous",6,6
"783","chief",5,4
"784","ranger",2,1
"785","morin",1,1
"786","notary",1,1
"787","high",9,8
"788","preparing",1,1
"789","french",4,4
"790","edition",1,1
"791","regulations",2,2
"792","original",1,1
"793","immediately",4,4
"794","transmitted",1,1
"795","addressed",2,2
"796","bishop",2,2
"797","queen's",1,1
"798","avenue",6,6
"799","methodist",5,5
"800","ronto",0,0
"801","meunlitns",1,1
"802","destroyed",7,7
"803","tire",4,4
"804","thames",1,1
"805","river",5,5
"806","water",5,5
"807","drink",2,2
"808","thomas",10,10
"809","ringer",0,0
"810","frozen",1,1
"811","stiff",1,1
"812","hamilton",9,9
"813","foul",1,1
"814","play",1,1
"815","suspected",1,1
"816","kowaod",1,1
"817","farmer",3,3
"818","living",3,3
"819","thuraday",2,2
"820","vhen",1,1
"821","ke.l",1,1
"822","hi.clients",1,1
"823","melvin",1,1
"824","mcpherson",1,1
"825","fell",6,6
"826","feet",9,8
"827","tree",1,1
"828","bush",1,1
"829","catharines",1,1
"830","american",4,4
"831","loan",3,2
"832","neck",0,0
"833","ecil",1,1
"834","bodes",1,1
"835","lord",6,6
"836","collecter",1,1
"837","sworn",1,1
"838","west",4,4
"839","boon",1,1
"840","trial",8,7
"841","penal",0,0
"842","privy",1,1
"843","colossal",1,1
"844","battleship",2,2
"845","majesty",2,2
"846","gibson",1,1
"847","highly",0,0
"848","launched",4,4
"849","portsmouth",1,1
"850","citizen",2,2
"851","herlin",1,1
"852","ont*died",1,1
"853","failure",3,3
"854","vessel",1,1
"855","christened",2,2
"856","ion",1,1
"857","prince",4,4
"858","wales",5,5
"859","presided",2,2
"860","colonial",4,4
"861","institute",1,1
"862","jameson",1,1
"863","spoke",1,1
"864","south",5,5
"865","african",2,2
"866","alfurs",1,1
"867","universities",1,1
"868","heavy",1,1
"869","snowfall",1,1
"870","winning",1,1
"871","deoi",1,1
"872","intensely",1,1
"873","cold",1,1
"874","weather",3,3
"875","prevailed",1,1
"876","lincolnshire",1,1
"877","jacob",1,1
"878","burkhoidei",1,1
"879","township",5,4
"880","barton",1,1
"881","forty",3,3
"882","yeara",1,1
"883","bar",2,2
"884","ton",2,2
"885","ville",14,14
"886","hia",2,2
"887","ninety-third",1,1
"888","preliminary",1,1
"889","steps",4,4
"890","form",5,5
"891","permanent",1,1
"892","provincial",2,2
"893","gaoization",1,1
"894","observance",0,0
"895","lord's",1,1
"896","world's",1,1
"897","records",1,1
"898","lowered",1,1
"899","championship",1,1
"900","races",1,1
"901","events",1,1
"902","divided",2,2
"903","johnson",2,2
"904","davidson",1,1
"905","late",10,10
"906","teriahze",1,1
"907","cheap",4,4
"908","senor",2,2
"909","molinas",1,1
"910","accumulated",1,1
"911","sign",1,1
"912","ward",4,3
"913","mcallister",1,1
"914","york",16,14
"915","playing",2,2
"916","snow",3,3
"917","built",2,2
"918","roof",1,1
"919","walls",3,3
"920","collapsed",2,2
"921","rescued",1,1
"922","leopold",1,1
"923","gmgras",1,1
"924","fourteen",2,2
"925","oue",1,1
"926","lads",0,0
"927","suffocated",1,1
"928","morningin",0,0
"929","squalid",1,1
"930","quarters",1,1
"931","occupied",3,3
"932","horace",1,1
"933","eliot",1,1
"934","pope",1,1
"935","commenced",5,5
"936","miee",1,1
"937","ubta",1,1
"938","dissecting",1,1
"939","ootcu",1,1
"940","wilford",1,1
"941","woodruff",0,0
"942","president",6,5
"943","commi",1,1
"944","tee",1,1
"945","california",1,1
"946","minister",6,6
"947","williamsburg",0,0
"948","y.found",1,1
"949","cheque",1,1
"950","flanagan",0,0
"951","paid",6,5
"952","usa",1,1
"953","flying",2,2
"954","concert",3,3
"955","masonic",5,5
"956","hall",11,11
"957","people",10,10
"958","talking",2,2
"959","attending",2,2
"960","gibbons",2,2
"961","sale",6,6
"962","mis",3,3
"963","unprecedented",1,1
"964","bargains",1,1
"965","consultations",2,2
"966","consultation",2,2
"967","poor",3,3
"968","sundays",11,11
"969","messrs",6,6
"970","budd",0,0
"971","jaa",1,1
"972","mat",2,2
"973","sonof",1,1
"974","ada",2,2
"975","mcrae",4,4
"976","xtotary",1,1
"977","maglitratea",1,1
"978","courtatshaw",1,1
"979","credit",1,1
"980","foncier",1,1
"981","terms",5,5
"982","mhawvllle",1,1
"983","aeh",1,1
"984","publication",17,17
"985","turn",2,2
"986","delayed",2,2
"987","non-arrival",1,1
"988","paper",0,0
"989","proper",1,1
"990","packers",2,2
"991","intend",5,5
"992","pur",3,3
"993","quarterly",2,2
"994","chase",3,3
"995","farm",5,5
"996","buy",2,2
"997","skim",2,2
"998","adjourned",2,2
"999","milk",2,2
"1000","creamery",2,2
"1001","patrons",5,5
"1002","insfc.on",2,2
"1003","account",3,3
"1004","hog",2,2
"1005","raising",4,4
"1006","roads",4,4
"1007","tbe",4,4
"1008","effects",5,5
"1009","stock",5,4
"1010","edward",5,5
"1011","onslow",5,4
"1012","continue",3,3
"1013","dispos",1,1
"1014","warren",3,3
"1015","campbell",3,3
"1016","baby",1,1
"1017","bry",1,1
"1018","son",10,10
"1019","left",7,7
"1020","duff",2,2
"1021","glengyle",1,1
"1022","occasion",7,7
"1023","publicly",1,1
"1024","boasted",1,1
"1025","dan.smith'a",1,1
"1026","hat",1,1
"1027","queen",15,14
"1028","takes",3,3
"1029","fiery",3,3
"1030","grey",2,2
"1031","silas",2,2
"1032","shaw-ville",1,1
"1033","guests",2,2
"1034","lanore",1,1
"1035","cannan",0,0
"1036","russell",3,3
"1037","twenty",4,3
"1038","miles",9,8
"1039","met",7,7
"1040","peculiar",3,3
"1041","accident",11,10
"1042","mile",3,3
"1043","lvnore",1,1
"1044","walk",1,1
"1045","suffered",2,2
"1046","awful",1,1
"1047","agony",2,2
"1048","widow",5,4
"1049","email",1,1
"1050","child-the",1,1
"1051","oldest",3,3
"1052","eleven",4,4
"1053","veers",1,1
"1054","crown-in-chanoery",0,0
"1055","nil",1,1
"1056","thureday",2,2
"1057","ruwla",1,1
"1058","ahe",1,1
"1059","mob",1,1
"1060","tilth",1,1
"1061","alao",1,1
"1062","tbird",1,1
"1063","directly",1,1
"1064","making",9,9
"1065","quickest",1,1
"1066","pas",1,1
"1067","iliam",0,0
"1068","harcourt",1,1
"1069","detectives",2,2
"1070","jean",1,1
"1071","baptiste",1,1
"1072","society",9,8
"1073","mitigate",1,1
"1074","situation",2,2
"1075","inquiry",1,1
"1076","expioaivu",1,1
"1077","eugiene",1,1
"1078","col-expected",1,1
"1079","retire",2,2
"1080","maid",1,1
"1081","extend",3,3
"1082","provinces",0,0
"1083","ministerial",1,1
"1084","reduced",2,2
"1085","obtain",2,2
"1086","life",8,8
"1087","insurance",4,4
"1088","appealed",1,1
"1089","pacific",4,4
"1090","railway",15,14
"1091","company",11,9
"1092","parnellitee",1,1
"1093","voted",2,2
"1094","govern",1,1
"1095","sentence",1,1
"1096","lookback",1,1
"1097","ment",2,2
"1098","remains",9,9
"1099","gen",2,2
"1100","boulanger",1,1
"1101","crown",3,3
"1102","deliberating",1,1
"1103","evidence",2,2
"1104","adduced",1,1
"1105","strange",1,1
"1106","ease",2,2
"1107","lengthy",1,1
"1108","ooneultation",1,1
"1109","crowd",2,2
"1110","attorney",1,1
"1111","curry",1,1
"1112","coroner",1,1
"1113","aikins",1,1
"1114","stark",1,1
"1115","detective",0,0
"1116","cuddy",2,2
"1117","instructed",1,1
"1118","swear",1,1
"1119","warrant",1,1
"1120","hugh",2,2
"1121","miller",1,1
"1122","charged",4,4
"1123","accused",2,2
"1124","feloniously",1,1
"1125","wilfully",1,1
"1126","malice",1,1
"1127","aforethought",1,1
"1128","kill",1,1
"1129","murder",4,4
"1130","wells",2,2
"1131","davis",2,2
"1132","set",1,1
"1133","quest",1,1
"1134","tbsir",1,1
"1135","prisoners",2,2
"1136","agnes",2,2
"1137","police",5,4
"1138","detention",1,1
"1139","gaol",4,4
"1140","proceedings",0,0
"1141","formal",2,2
"1142","character",3,3
"1143","remand",1,1
"1144","granted",2,2
"1145","port",3,3
"1146","hope",3,3
"1147","trinity",2,2
"1148","college",3,2
"1149","burned",8,8
"1150","alarm",1,1
"1151","sounded",1,1
"1152","minutes",4,4
"1153","terrific",1,1
"1154","blowing",1,1
"1155","arrived",16,16
"1156","iasur",1,1
"1157","easter",1,1
"1158","officer",1,1
"1159","royal",3,3
"1160","grenadiers",1,1
"1161","militia",1,1
"1162","popularly",1,1
"1163","service",10,8
"1164","residsnoe",0,0
"1165","kilvert",1,1
"1166","oui",1,1
"1167","lector",1,1
"1168","customs",2,2
"1169","watters",1,1
"1170","charges",1,1
"1171","misappropriating",1,1
"1172","maofarlane",1,1
"1173","manager",2,2
"1174","columbia",1,1
"1175","iron",2,2
"1176","works",1,1
"1177","vancouver",2,2
"1178","attempting",1,1
"1179","bribe",1,1
"1180","aid",2,2
"1181","mccraney",1,1
"1182","secure",3,3
"1183","contract",1,1
"1184","city's",1,1
"1185","electric",2,2
"1186","plant",1,1
"1187","etruria",1,1
"1188","queenstown",1,1
"1189","overdue",1,1
"1190","steamer",6,5
"1191","decisive",1,1
"1192","vote",1,1
"1193","thirty-six",2,2
"1194","twenty-five",2,2
"1195","senate",2,2
"1196","inaugurate",1,1
"1197","project",1,1
"1198","laying",1,1
"1199","cable",3,3
"1200","coast",2,2
"1201","regard",1,1
"1202","proposed",1,1
"1203","atlantic",5,4
"1204","lake",18,17
"1205","superior",2,2
"1206","foster",4,3
"1207","finance",1,1
"1208","stated",3,3
"1209","simply",1,1
"1210","agreed",1,1
"1211","par",1,1
"1212","cent",3,3
"1213","deposit",1,1
"1214","purpose",4,4
"1215","paying",1,1
"1216","interest",3,3
"1217","booth",2,2
"1218","salvation",1,1
"1219","army",2,2
"1220","waited",0,0
"1221","bowem",1,1
"1222","opened",6,6
"1223","repres",1,1
"1224","policy",3,3
"1225","armstrong",6,6
"1226","janies",1,1
"1227","hart",4,4
"1228","wjlsou",1,1
"1229","constitu",1,1
"1230","pretty",5,5
"1231","indication",1,1
"1232","ted",3,3
"1233","deputation",2,2
"1234","interview",1,1
"1235","whirkey",1,1
"1236","gaining",2,2
"1237","abroad",0,0
"1238","gillies",1,1
"1239","gentleman",4,4
"1240","total",4,4
"1241","revenue",4,4
"1242","accrued",1,1
"1243","pembroke",4,4
"1244","feb",2,2
"1245","temperate",1,1
"1246","fact",3,3
"1247","dress",1,1
"1248","scantling",1,1
"1249","bald",0,0
"1250","hhawville",3,3
"1251","sympathies",1,1
"1252","o'meara",1,1
"1253","quvon",1,1
"1254","loss",4,4
"1255","infant",2,2
"1256","urday",1,1
"1257","severe",2,2
"1258","g-ff",1,1
"1259","resseman",1,1
"1260","appointed",3,3
"1261","superintendent",1,1
"1262","resigned",1,1
"1263","special",8,8
"1264","lent",2,2
"1265","prayer",10,9
"1266","george's",1,1
"1267","short",4,4
"1268","lenten",3,3
"1269","p.ra",1,1
"1270","pleasant",2,2
"1271","party",7,7
"1272","residence",10,10
"1273","foci",1,1
"1274","pete",1,1
"1275","sleigh",0,0
"1276","load",2,2
"1277","yeung",1,1
"1278","bristol",11,10
"1279","bell",3,3
"1280","alleyn",1,1
"1281","farrell",2,2
"1282","sliawville",1,1
"1283","aeeond",1,1
"1284","hawtiue",1,1
"1285","tbenday",1,1
"1286","rating",1,1
"1287","racing",1,1
"1288","prevails",1,1
"1289","extent",3,3
"1290","speech",5,5
"1291","reported",4,4
"1292","represent",1,1
"1293","delivered",4,4
