Equity issue,day of week,description (from line),Column 4,Column 5
1895-01-10, Thursday,   Carleton Place.	(Thursday) morning for Montreal to at- I eek'	  ervlm rendered as numbers of the Board ,,
1895-01-10, Tuesday,  tm h	Will visit (juyon the second Tuesday of,,
1895-01-10,nY5ire day,  2 nY5ire day Wlth Iheir daughter and T. Martin (equal.) %,,
1895-01-10, Saturday,  Hon. Henry Starnes ex speaker of the Legislative Council was stricken with paralysis whilst in his seat in the House on Saturday night last. Latest reports give his condition as somewhat better.,,
1895-01-10,15th day,  1 undersigned up to the morning of the meeting of Directors which will he held at ^hawvllle on the 15th day of January 181X5 for each of the following namely :,,
1895-01-10, Tuesday,   rriHERE wPl be offered for male by public 1 auction At the RumhcII Home Ottawa on Tuesday lhe I It h day of March next. t	.	Htk  ). at a o'clock. P. M. the Pine Hpruce and ,,
1895-01-10, Thursday,  The Quebec legislature is expected to-prorogue on Thursday of this week,,
1895-01-10, Thursday,  huraday last. He selected for the basis tinetc friends. It is to adorn the annal.,,
1895-01-10,first day,  (liven at .Sbawvlile this thirty-first day of the month of December 1894.,,
1895-01-10, Saturday,  early Saturday morning while the family,,
1895-01-10,Sunday,  lynched in Georgia on Sunday.,,
1895-01-17, Saturday,  .. $15000*0 uary at O. F. Hodgini.	On Saturday whilst Mrs. A.W. Smith break the road through to Bryson A Fra-,,
1895-01-17, Friday,   1! Ln.witidl* AU 0?ire.pondenceprompt- at North Clarendon on Friday s very Brownlee Joseph Oraveile Thoe.   	.	^	^ ,,
1895-01-17,Wednesday,  s fiait to Radford on Tuesday and return I his village came off rather more quietly ed Wednesday.	Piobon. than at one time seemed imminent i_,,
1895-01-17,Wednesday,  Will visit Bhawvllle on the second Wednesday of every month.,,
1895-01-17,Sunday,  carefully dry it or.t. Then it can be dressed. a^ was performed while the heme weri Sunday that the Chinese have throughout Nearly all the northern Chinese drew in Tilbury ie dead.,,
1895-01-17, Friday,  The Manitoba Legislature le called for Dr. Dunnigan of Buffalo died Friday overwhelmed by no avalanche which de the despatch of buelneee on January 24th. of diphtheria. Anti-toxins failed to cure itroyed four houses and twelve barns. The,,
1895-01-17,other day,  The anti-toxine remedy for diphtheria has poit-office in the heart of Cincinnati the oide several dayeagoia a mostsxtraordinary or ltraw pressed firmly in pos proved successful in three cases at Chat- other day and escaped with the money. manner. He broke one of the large panes ditional protection ie given by the piece of ham Ont. and the physicians pronounce The hierarchy of the United States are <>f glass in the window of his room and board a which has a hole in it that fits it a great success.	taking decided etepi to reduce the Roman then placing Inn head through the hole J closely over the pump handle and during,,
1895-01-17,Wednesday,  Mr. William R. Cremer M.P.will leave %n a ietter written by Mr. Louis Steven-England on Wednesday with a memorial shortly prior to hi* .math he expressed signed by three hundred and forty-five the opinion that the only cure for Samoan members of the Houss of Commons in troubles was the annexation of tbs Islands favor of arbitration in all matters of die- * Great Britain.,,
1895-01-17,other day,  Lippert arrested the other day in Cin- S|r Krederiok Pollock oorpu. professor cinnatl for crimes committed in Cape of jurisprudence at Oxford and editor of the Colony.	Law Review has been chosen to be editor,,
1895-01-17, Saturday,  Women in the Glasgow shops according to a recent report receive from $1 or $1.28 to $3 a week ; hair-dressers milliners and tobaccoists may get $3.75. Overseers begin with $3 a week and may rise to $600 a year. One young woman in sole charge of a shop received $2 a week ; her hours were 124 on four days of the week 74 on one and 144 on one ; her meals were brought in to her ; there were no sanitary conveniences these being rare In Glasgow shops. Another worked from 9:30 a.m. till 10 p m. and on Saturdays till II for $1.75 a week and wss not allowed to go out for her meals.,,
1895-01-17,Sunday,  In several Europeon countries including France and Belgium elections are always held on Sunday.,,
1895-01-17, Saturday,  Mr. J. H. Brownlee proprietor of the Shawville skating rink wishes it to be / announced that he will give a carnival on ' Saturday night of this week to the boys and girls under 16 years of age. Admis sion to spectators over that age (except ticket holders who will be addiuitted free) will be 10 cents. The carnival will be open at 7 o'clock. Ice will be open to all skaters at half past 8 o'clock. It is hoped that a goodly number of the juvenile skaters of the village will avail themselves of this opportunity to appear in cos tume.,,
1895-01-17,holiday, Mr. W. H. Smiley ie spending his holidays with hie parents.,,
1895-01-17-01, Saturday,  One hundred miners were entombed by a colliery disaster at Hantley England ou Saturday.,,
1895-01-31,Wednesday,  Will visit Shawville on the second Wednesday of every month.,,
1895-01-31,Wednesday,  3e0 Cloth and Healette Mantles and Capes of I X Quebec Government official went up  On Wednesday the 16th a large num,,
1895-01-31, few day,  Mias Fanny Hill is spending a few days visiting her parents.,,
1895-01-31,Sunday,  operatic star is critically	ill in London	Sunday night. Nobody was killed and ^ end they will be sufferers to a greater seems to them in moments of sudden ter-,,
1895-01-31, Monday,  On Monday Hon. William 11 arty tie,,
1895-01-31,the day,  1833 he came with his parents from Eng- konzie Bowel!	These were the days	!	er for a moment questioned.	every prospect of as thick a growth,,
1895-01-31, Friday,  on Friday morning mangled the driver and horse in a frightful way and smashed the cutter into kindling wood. The express is timed to arrive here from Sarnia at 4.02 a. m. and was to make up a little time and rushed past,,
1895-01-31, Wedneaday,  There was a goodly representation of Pontiackers at the Ottawa Carnival last Week especially during the closing days of that noteworthy and reoiaikabiy sue Cvssful affair and from ihe appeaianCe of the Capital at noun on Friday one might reasonably conclude that all parts of Canada as well as Pontiac were largely represented. Sucii an immense throng of peo pie was never before witnessed in the Wedneaday 26th Inst. the wife of Mr. J streets of Ottawa During the progress t iloi m r <>f n won,,
1895-02-07, nesday,  nesday of every month,,
1895-02-07,Wednesday,  Smart a last Wednesday evening waa well attended and appreciated. The meeting will be held at Mr. William,,
1895-02-07, today,  Thorne.	| Mrs. Rimer of the Fort is visiting to Ottawa today	J,,
1895-02-07,the day,  Sunday night last?	Rag bees is the order of the day. Mrs	8ormw nnbiighM by sin endeBied.,,
1895-02-07, Monday,  On Monday 28th January Hon Mr.,,
1895-02-07,Wednesday,  Wednesday the,,
1895-02-07,Wednesday,  The Toronto Mail of Wednesday con	and Mrs Wlthorspoon continues	her enter-,,
1895-02-07, Thursday,  Sir Donald Smith visited Cambridge University on Thursday probably in connection with the selection of a new principal for McGill University.,,
1895-02-07,Wednesday,  The Government barge Petrel laden with powder shot and shell blew up at Gravesend Kng. on Wednesday and no trace of the crew can be found.,,
1895-02-07, Thursday,  On Thursday night the First Congre-,,
1895-02-07, Saturday,  Dr. Alfred L. Loomis the eminent phy library is dead.	while in custody on Saturday. The un for- their past would have little chance of find*,,
1895-02-07, Thursday,  A letter in the St. James' Gazette on Thursday advocated the appointment of Captain Mahan of the United States navy to the Regius Professorship of History at Cambridge University in succession to Prof. Seeley recently deceased.,,
1895-02-07, Tuesday,  The Governor General and Lady A her- division of Worcester resulted on Tuesday deen were tendered a reception on Satur-,,
1895-02-07, Monday,  Ayes 83; nays 13.	A bomb warn exploded on Monday even- I water-tight compartments. The wheels being of the   submerged tenth.   Its pity,,
1895-02-07,Wednesday,  Sir William Van Horne has returned to London from the Continent and leaves by the Teutonic next Wednesday.,,
1895-02-07, two day,  On two days recently 800000 pounds o* pork were sold on the Chatham market.,,
1895-02-07, Friday,  Judge Gayner in the Supreme Court Brooklyn on Friday morning reserved his decision on application for a writ of mandamus to compel the Brooklyn Heights railroad to run cars.,,
1895-02-07, any day,  Mayor Schieren expressed his opinion that the strike was over so far as it would affect the convenience of the public. Col. Appleton of the 7th Regiment said he peeled to be relieved from detail very soon. Master Workman Connelly still maintains that the strikers will win but a dozen strikers applied to the Brooklyn City railroad on Friday for reinstatement and were put to work. Street car officials say that they will be glad to take back old men but they will not be allowed to displace the new ones taken on. More cars were running on Friday than on any day since the,,
1895-02-14, Monday,  To create an appetite and give tone to P*rt8 of the country on Monday digging hey W1 1 >e eod wllhout reserve. /,,
1895-02-14, Tuesday,  XTOTART PUBLIC. Clerk of the Magi Xv Oourtat Hhawvllle . Agent for the Credl 3ler franco Canadian. Money to lend on easy terme gW Will be In Shawvllle from Monday till Friday of each week. Will visit Quyoti the second Tuesday of sash month,,
1895-02-14,Wednesday,  On W&inesday of last we*k the annual election of Officers for the County Orange Lodge took place in this village with the following result :,,
1895-02-14, Friday,  husband with a daughter <>n Friday 8th. since fall.,,
1895-02-14, Monday,  Owing to storm of lamt week we were very ..	.	.section having appeared in Th# Equity nearly not getting any mall on Monday but,,
1895-02-14, Friday,  Mr. Wm. Clarke was the purchaser of where was the little hag o Friday a fine team lant week. Now is your	while the mail team was driving,,
1895-02-14, Saturday,  It was midnight when the train reach- The report that our til.ck.mith had T 	. ^		. ed McKees station on Saturday night diphthen# is I am glad to ##y untrue. H*,,
1895-02-14,other day,  other day by s rip saw. Stetson vu the A member of the stall ef The Canadian #?eryw ers*	not common waehed-oul wines but are old,,
1895-02-14, today,  Arthur Balfour Unionist leader in closing the debate on the amendment to day gave the details of the industrial distress in Lancashire. He said that the country stood face to face with a nnan cial agricultural and commercial crisis. The consequent demand upon the Gov-eminent was therefore to consider am and in the light of the best opinions  the circumstances affecting the country s social condition. By quick action much misfortune might be prevented.	f,,
1895-02-14, Tuesday,  A second utterance in the same line :omes from New Brunswick another pro yince with a Liberal premier and a Liber #1 majority in control of its a if lira. In his budget address on Tuesday Hon. |{r Mitchell told the Legislature that,,
1895-02-14, these day,  DO VO In these days when the sin of evil habit# sre DU I U bo prevalent when thousand# of fount men are wreckedby the bad habita of self abase Todssos. Tea and Spirits these PUls are a sure prevention and,,
1895-02-14,Wednesday,  Is hereby given that on Wednesday the,,
1895-02-14, previous day,  On the previous day the Supreme Chief Ranger had written the following letter to M V. Morin notary the new High Chief Ranger who was then preparing the French edition of our regulations :,,
1895-02-14, following day,  The original of that letter was immediately transmitted to me and I addressed it to the Bishop of Quebec on the following day. Some time after I received the following letter :,,
1895-02-14, Saturday,  Queen's avenue Methodist church in ronto. In the meunlitns the town has London warn destroyed by tire on Saturday nothing but the Thames river water to night	drink.,,
1895-02-14, Tuesday,  Thomas Ringer was found frozen stiff on Hamilton bay on Tuesday and foul play is suspected.,,
1895-02-14, Thursday,  Mr. J. 0. Kowaod . farmer living near|ou Thuraday. -Vhen a<ke.l what hi.clients,,
1895-02-14, Friday,  Melvin McPherson fell 40 feet from a London last week on the prospect of au tree in the bush near Su Catharines Friday | American loan and broke hie neck.,,
1895-02-14, Saturday,  Hon. L^ecil K bodes Premier of Cape Colony John M. Lord the collecter of London I was on Saturday sworn in as a member of West has boon committed for trial He is | the hi penal Privy Council.,,
1895-02-14,Wednesday,  The colossal battleship Majesty Mr. James Gibson a highly respected I launched at Portsmouth on Wednesday citizen of Herlin Ont*died of heart failure The vessel was christened by the March ion-,,
1895-02-14, Thursday,  The Prince of Wales presided at a meeting of the Colonial Institute hi London on Thursday wh u Mr. Jameson spoke on South African alfurs.,,
1895-02-14,Sunday,  The annual debate between Toronto and McGill universities took place in Montreal I There was a heavy snowfall throughout Friday night. Toronto winning the deoi- England on Sunday night and intensely sion.	I cold weather prevailed. In Lincolnshire,,
1895-02-14,Sunday,  Mr. Jacob H. Burkhoidei who H _ clerk of the township of Barton for forty yeara died on Sunday at Bar ton ville Ont. in hia ninety-third year.,,
1895-02-14, s day,  Preliminary steps were taken at a meeting held in Toronto the other night to form a permanent provincial o gaoization for the better observance of the Lord's day.,,
1895-02-14, Saturday,  Three world's records were lowered at the Canadian skating championship races at Montreal on Saturday. The events were  . divided between Johnson Davidson and ^own lo H2J61.Jb6.,,
1895-02-14, Tuesday,  Master was committed for trial for a The will of the late James G tv	teriahze^ Money is cheap and the cm- Tuesday Senor Molinas a member from been accumulated. There i. little sign of,,
1895-02-14, Thursday,  Ward McAllister died in New York on Thursday night.,,
1895-02-14, Thursday,  While three boys were playing in a snow house which they had built in Montreal on Thursday the roof and the walls collapsed and before rescued Leopold Gmgras aged fourteen oue of the lads was suffocated.,,
1895-02-14, Saturday,  on Saturday morningin the squalid quarters occupied by Dr. Horace Eliot Pope and his,,
1895-02-14,Sunday,  Work ha. been commenced on the new	Miee Grace French a Sunday school ubta *	on after having put up,,
1895-02-14, Saturday,  the dissecting room with one .ootcu a	WIlford Woodruff President of the commi6tee held a meeting here on Saturday	__	ihe University of California. He came to,,
1895-02-14,other day,  A minister in Williamsburg N. Y.found in hie mail the other day a cheque for $10.,,
1895-02-14, Monday,  ^ Rev* Mr Flanagan paid usa flying visit on Monday last.	L  	,,
1895-02-21, Thursday,  Shawville L. C. Concert Thursday March 7th. Masonic Hall Shawville.,,
1895-02-21,Wednesday,  A great many people are talking of attending the Gibbons auction sale which began on Wednesday. To mis* the unprecedented bargains that will there be offered will be,,
1895-02-21,Sunday,  Consultations at all hours Free Consultation to poor on Sundays from 10 to 11 a. m.,,
1895-02-21,Sunday,  Messrs. D. W. Budd and Jaa. Mat he sonof Renfrew were in town on Sunday.,,
1895-02-21, Monday,  Misses M. Rimer and Ada McRae of Bryson were in town on Monday.,,
1895-02-21, Tuesday,  XTOTARY PUBLIC. Clerk of the Maglitratea .W CourtatShaw ville. Agent for the Credit Foncier franco Canadian. Money to lend on easy terms. |g- Will be In Mhawvllle from Monday till Friday of each week. Will visit Quyon the second Tuesday of #aeh month,,
1895-02-21, Friday,  The publication of Turn Equity was delayed last week till Friday owing to the non-arrival of our paper from Toronto at the proper time.,,
1895-02-21,Sunday,  pork packers of Montreal intend to pur-1 The general quarterly meeting of the chase a farm near Renfrew buy skim Methodist church here adjourned from milk from the Creamery patrons and go I Sunday the 10th insfc.on account of bad largely into hog raising.	| roads will be held on Sunday next 24th,,
1895-02-21,Sunday,  pork packers of Montreal intend to pur-1 The general quarterly meeting of the chase a farm near Renfrew buy skim Methodist church here adjourned from milk from the Creamery patrons and go I Sunday the 10th insfc.on account of bad largely into hog raising.	| roads will be held on Sunday next 24th,,
1895-02-21,Wednesday,  Will visit Shawvllle on tbe second Wednesday of every month.,,
1895-02-21, today,  Tbe great sale of effects and stock of the late Edward Gibbons of Onslow commenced on Wednesday and will continue from day to day until all the large stock Is dispos- 1	\ lady living,,
1895-02-21, Friday,  Mrs. Warren Campbell and baby Bry son who have been visiting here for some time left for Quyon Friday.,,
1895-02-21,Wednesday,  The Misses Duff of Glengyle spent one occasion publicly boasted that he Wednesday afternoon at Mr Dan.Smith'a would not take off hie hat to the Queen What takes that fiery little grey horse or any other woman,,
1895-02-21,Sunday,  Mr. and Mrs. Silas Young of Shaw-ville were the guests of Mr. and Mr# Smiley on Sunday.,,
1895-02-21, Friday,  A week ago Friday Samuel Lanore of Cannan in Russell County about twenty miles from Ottawa met with a peculiar a% '	it-.	| accident from which he had since died,,
1895-02-21, Tuesday,  * nearly a mile Lvnore had to walk home alone. Until Tuesday he suffered awful agony. He was 36 years of age and leaves a widow with five email child-the oldest eleven veers. The widow,,
1895-02-21, Thursday,  Clerk of the Crown-in-Chanoery from nil on Thureday from Ruwla where ahe has leader of a mob on tilth avenue was alao	(r^ the tbird et0 directly,,
1895-02-21, Friday,  Friday afternoon making the quickest pas-	W iliam Harcourt has announced	general.	were found by the detectives and arrested,,
1895-02-21, Tuesday,  Jean Baptiste Society for many years is to mitigate their situation. The inquiry By SD expioaivu at the St. Eugiene col-expected shortly to retire.	he maid would extend to the provinces. fiery in France on Tuesday between 20,,
1895-02-21, Monday,  Ministerial majority was reduced to two. to obtain life insurance has appealed from The Canadian Pacific Railway Company The Parnellitee voted against the Govern- the sentence on Monday lookback to work in the Sion- ment.	The remains of Gen. Boulanger who,,
1895-02-21,Wednesday,  The Crown has been deliberating for the past day or two upon the new evidence adduced in this strange ease and It was only at 5 o'clock on Wednesday evening after a lengthy ooneultation between Crowd Attorney Curry Coroner Aikins and Inspector Stark that Detective Cuddy instructed to swear out a warrant be Mr. Hugh Miller J. P. charged that the accused   on January 16 1893 did feloniously wilfully and with malice aforethought kill and murder William C. Wells.,,
1895-02-21, Thursday,  Detectives Cuddy and Davis immediately set out in quest of tbsir men and found them as already described. The prisoners were taken over to Agnes street police station and after a brief detention were sent to the gaol. They appeared at the Police Court on Thursday morning but the proceedings were of % formal character and a remand granted for a week.,,
1895-02-21, Saturday,  A despatch from Port Hope says Trinity College School was burned Saturday night The alarm was sounded a few minutes before 12. A terrific gale was blowing from the west and it was some time before help arrived.,,
1895-02-21,holiday,  ___I were taking ont some life iasur- until the Easter holidays at least or until,,
1895-02-21, Thursday,  officer of the Royal Grenadiers Canadian militia and well and popularly known in the service died at his residsnoe at Toronto on Thursday morning.,,
1895-02-21,other day,  Mr. F. K. Kilvert oui lector of customs at Hamilton has gone to Ottawa to take the place of Mr. T. J. Watters who was arrested the other day an charges of misappropriating,,
1895-02-21, Thursday,  J K. W. Maofarlane manager of the British Columbia Iron Works Society Vancouver B. C. was arrested on Thursday on the charge of attempting to bribe Aid. McCraney in order to secure the contract for the city's electric light plant.,,
1895-02-21, Saturday,  The Etruria which arrived at Queenstown on Saturday reports that she saw no of the overdue French line steamer La,,
1895-02-21, Saturday,  By the decisive vote of thirty-six to twenty-five the United States Senate on Saturday voted to inaugurate the project of laying a cable from the Pacific coast to,,
1895-02-21,other day,  With regard to the proposed Atlantic and Lake Superior railway Mr. Foster Minister of Finance stated the other day that the Government had simply agreed to give the company three par cent on such money as they might deposit for the purpose of paying interest on their,,
1895-02-21, Thursday,  The Rev. Wm Booth General of the Salvation Army waited up BoweM on Thursday at Tc,,
1895-02-21,Wednesday,  The Manitoba Legislature opened Wednesday last.,,
1895-02-21, Thursday,  On Thursday last the house of repres- ^ the policy that indicated such a charge,,
1895-02-21, Friday,  Russell James Armstrong Janies Hart of the four previous years and James Wjlsou of Clarendon constitu- pretty good indication than Canadian ted a deputation of Patrons to interview whirkey is gaining favor abroad. The Mr. D. Gillies whilst that gentleman total revenue accrued from spirits was $4 was in town on Friday night last with	133637 which is $87*120 more than the,,
1895-02-21, Friday,  held at Pembroke on Friday next Feb. *be temperate s me in fact have been,,
1895-02-21,Sunday,  the iron. Dress out the scantling with bald on Sunday.,,
1895-02-28, Thursday,  Hhawville L. C. Concert. Thursday March 7th. Masonic Hall Shawville.,,
1895-02-28, Thursday,  Our sympathies are with Mr. and Mrs. M. E. O'Meara of Quvon in the loss of their infant son which urday morning from a severe cold.,,
1895-02-28,Sunday,  g-ff- Consultations at all hours Free Consultation to poor on Sundays from 10 to 12 a. m.,,
1895-02-28, Saturday,  Mr R. W. Resseman has been appointed superintendent of the P. P. J. Railway Mr. J. T. Prince resigned. The new official went over the line by special train on Saturday last.,,
1895-02-28,Sunday,  1st Sunday In Lent. March 8. Ht. James Bryson Morning Prayer 10 80 a.m.,,
1895-02-28, Friday,  Friday March 8.-Ht George's P. D. Fort short Lenten service at 7.80 p.ra,,
1895-02-28, Tuesday,  A very pleasant evening was spent by a party of young people on Tuesday evening at the residence of Mrs. Joseph Brownlee. Among the number was 11 Foci# Pete.,,
1895-02-28,Sunday,  A sleigh load of yeung Bristol people spent Sunday with Mr. and Mrs. J. Stewart and family.,,
1895-02-28, Monday,  Mr. and Mrs Bell of Alleyn were the guests of Mrs R. Farrell on Monday night while on their way to Sliawville.,,
1895-02-28,Wednesday,  Will visit Shawville on the aeeond Wednesday of every month.,,
1895-02-28,Tbenday,  8hawtiUe on Tbenday .rating March 7.,,
1895-02-28,Sunday,  Horse racing prevails in SL Catharines on Sunday to some extent.,,
1895-02-28, Friday,  In the House of Commons on Friday Mr.,,
1895-02-28, Saturday,  speech on the occasion Mr. D is reported on Saturday to represent the Ro to have delivered himself as follows | man Catholics in the appeal to the,,
1895-02-28, Monday,  The' death is announced at Ottawa on Monday of Mr. Allan Gllmour a gentle well known in this section from his,,
1895-02-28,sutlici day,  At Quy.tn village at 6 o'clock of Mon 0f gtM)tj fauh and provide a capital sutlici day afternoon last Mr. Walter ( leary of wiili the subsidies for the completion Billerica joined heart and hand with Miss uf the work without the enforced use of M E Ohearn of Quyon Rev. B. Kier the men's wages This could be done nan officiating. The bride was sustained ^ insisting upon a gurrantee and by by hie biatvrt Bliss IVesie ()h^srnt whilst providing a jHMialty for infraction he-the groom's brother Mr. A. Cleary per- fure ay portion of the subsidy is drawn formed a like service for him. After	of the lesser officials with an ill-,,
1895-03-07, Thursday,  ing (Thursday.) Doors open at 7 ; perfor i^tween six and seven million feet of styles for spring and summer.,,
1895-03-07,Sunday,  l^ssed a wav on Sunday afternoon last at of high grade milling and have the beat *n their preparation. The prisse for the,,
1895-03-07,Wednesday,  Will vlelt Shawvilie on the aeoond Wednesday of every month.,,
1895-03-07, Saturday,  Mrs. Wm. Steele was visiting friends remained over night at Otter Lake in this section last week.	Satorday bat.,,
1895-03-07, Tuesday,  On Tuesday Feb. 26th Dr. Gauthier of Fort Coolonge warn united in marriage at Pembroke by Bishop Lorrain to Mias E. Dube of Sudbury.,,
1895-03-07, Monday,  and Overshoes	st O. Fred Hodgine'.	llr Riehard hmll left	Monday with	cased.,,
1895-03-07, Monday,  McCluretwo of the family who went crazy The Toronto Mail announces that at a over religion were examined on Monday meeting in Toronto the other evening Dr. afternoon. They will be sent to Toronto Oronhyatekha stated that he had made asylum. John the younger brother fery favorable arrangements with one of hae almost fnllv recovered and is at liber- the beet steamship lines to carry ty. The mother has also recovered and members of the I. O. F. to England at home. The daughters are being treat jujy Full particulars will be given in a ed by Dr. C. Y. Moore. They are making |*ter Forester. This is good news for satisfactory improvement and will no those of that body who want a cheap tnp doubt ere long regain their senses.	to England.,,
1895-03-07,Sunday,  _ . .	. __	.	\ _ Z . .. . Early on Sunday morning Toronto was,,
1895-03-07,Wednesday,  I fire engine purchased by the Winnipeg |needay night,,
1895-03-07, Saturday,  Mr. P. Mahon died on Saturday from Lord Roseberry is indisposed and is con- it.	J y	agsiuat	* ir nou metallic substances winter to the manufacture of clothes for,,
1895-03-07, Thursday,  The Hamilton 1 hist les on Thursday won,,
1895-03-07,Wednesday,  the Ontario Curling Association TankardH^HHI^IH^^I^HP^^^V for the fifth time defeating Lindsay by one At the annual meeting on Wednesday of,,
1895-03-07,Wednesday,  the owners of the Glasgow steamship lines Premier Howell on Wednesday received a t*le chairman said that the present proa-deputation asking for Government assist- P*ct &Hbrdod no ground to look for ance towards the return of 800 families of Pavement m the shipping trade during the French-Canadians settled in Northern present year,,
1895-03-07, Monday,  The death ieenuouaeed at Ottawa on Monday of Mr. Allan Ollmour a gentleman well known in this auction from his,,
1895-03-07,Wednesday,  On Wednesday last Police Magistrate,,
1895-03-14,delayed day,  Owing to an accident to our press thu printing of Tiik EqPITY was delayed day last week.,,
1895-03-14,Wednesday,  Quite a number of our villagers attend <led the County land sales at Bryson Wednesday last.,,
1895-03-14, Thursday,  Mrs. David Manchester of Ottawa was the guest of Mrs. John D'dan Thursday night last. She returned home the following morning.,,
1895-03-14,Sunday,  New Dhuu Stoke Main St. Shaw* A choice assortment of Drugs and Chemicals constantly on hand. Also a full stock of Patent Medicines; Horse and Cattle medicines of all kinds. Prescriptions and family receipes carefully put up at all hours. Open on Sunday between 12 and 1 p m. Du. 11.H. Kux k.,,
1895-03-14, Tuesday,  Carnival night Tuesday 19lh inst. Ad mission 15 cents costumed skaters admit ted free.,,
1895-03-14, Thursday,  is issued from the office of Publication at Shaw ville every Thursday.,,
1895-03-14, Friday,  A grand concert will be given in No. 5 school (Elliott's) by tho members of Victoria Lodge 1.0.0 T.on Friday evening March 22nd. All sre invited.,,
1895-03-14,Sunday,  The eclipse of the moon which occurred on Sunday night last was observed here under very favorable conditions not a cloud being visible in tho sky at the time of contact.,,
1895-03-14, Tuesday,  cler Franco Canadien. M'liiey to lend un easy terms. tW Will bein rthawville from Monday till Friday of each week. Will visit (guyun theaeiuud Tuesday of each month,,
1895-03-14,Sunday,  Miss Bella Cuthbertson spent Sunday with her sister Mrs. H. Stewart.,,
1895-03-14,Sunday,  Third Sunday in Lrnt- March 17189,,
1895-03-14, Friday, Friday night. March 15 S. 8. Teachers 6.30 ; Evening Prayer 7 p.m. Special Lenten address The Consecration of Aaron.,,
1895-03-14,Wednesday,  Will visit Shawvllle on the second Wednesday of every month.,,
1895-03-14, Friday,  ral days and Friday is the earliest d iy on which a full meeting can be held.,,
1895-03-14, Friday,  Manitoba government before taking any further action or whether it will be deemed advisable to take any other line of action cannot be known until after Friday's meeting of C >uncil.,,
1895-03-14, Monday,  making legislation impossible. On Monday	holdings of Athens declares	that most of	concomitants indigestion aud dyspepsia	caused by the movement of the thing what-,,
1895-03-14, Saturday,  Brooklyn s City hall was damaged by lish Primose League the great Conservative vapor which he extracts from solid foods physician who it was claimed had removed fire on Saturday to the extent of $50000. party organization and will forbid Catho- by means of an ingenious apparatus of lzards and other living things from human,,
1895-03-14, Friday,  George Magee colored met da&th on Friday on the scaffold in the gaol yard at Frankfort lxy. for the murder of Charles Thomas a fellow convict.,,
1895-03-14,Sunday,  Mr1. Wellington Parliament a respectable farmer whose house was near Coneecon shot himself dead on Sunday morning. Ill-health is supposed to have unbalanced hie mind.,,
1895-03-14, Tuesday,  Mrs. Coventry was burned to death at the Village of Liberty N. V. in a tire which ou Tuesday destroyed the home and saw-mill of K. A. Van Fredenburg her son-in-law.,,
1895-03-14, Friday,  Two falling-wall accidents occurred in New York on Friday. The rear of the old six-storey malt house corner of 43rd street and 10th avenue fell suddenly carrying with and burying in its ruins over a dozen,,
1895-03-14, Thursday,  Inthe Montreal Police Court on Thursday of the Paris Tribunal was at first adopted	-- petro sum and chemical cutlets and steaks,,
