Equity issue, day of week, description (from line)
1895-01-03, holiday,  The Misses Fiulan are home for their holidays.
1895-01-03, few day,  Mr. F. S. Roy is spending a few days
1895-01-03, few day,  Mr. Alex. Stewart returned home a few days ago and intends remaining with us. **	x;
1895-01-03, few day,  Miss Grace McKechnie spent a few days in Eiinside last week.
1895-01-03, Saturday,  Model school spent Saturday in this vi-
1895-01-03, Monday,  Saturday night saw one at Monday night we
1895-01-03, few day,  Lmd Randolph Churchill returned to England a few days ago a physical and mental w refit. He is a victim of paralysed has been given only a month to
Binary file 1895-01-03,  matches
1895-01-10, Tuesday,  Mr. B. McGrath school inspector was town on Monday and Tuesday last
1895-01-10, Monday,  Mr. Borthwick was elected mayor of Ottawa on Monday over Mr. Cluff.
1895-01-10, Thursday,  Carleton Place.	(Thursday) morning for Montreal to at- I eek'	"ervlm rendered as numbers of the Board
1895-01-10, Tuesday,  tm h	Will visit (juyon the second Tuesday of
1895-01-10, nY5ire day,  2 nY5ire day Wlth Iheir daughter and T. Martin (equal.) %
1895-01-10, Saturday,  Hon. Henry Starnes ex speaker of the Legislative Council was stricken with paralysis whilst in his seat in the House on Saturday night last. Latest reports give his condition as somewhat better.
1895-01-10, cold day,  The Hon. Louis H. Davies M. P  says that the Dominion elections will be held before the winter is out is sure it will bo a cold day anyway it will Bro. Davies and the blizzard will probably strike Queen's P. E. I. so the
1895-01-10, 15th day,  1 undersigned up to the morning of the meeting of Directors which will he held at ^hawvllle on the 15th day of January 181X5 for each of the following namely :
1895-01-10, today,  of the Couaeivative party today. They
1895-01-10, h day,  rriHERE wPl be offered for male by public 1 auction At the RumhcII Home Ottawa on Tuesday lhe I It h day of March next. t	.	Htk"). at a o'clock. P. M. the Pine Hpruce and
1895-01-10, Thursday,  The Quebec legislature is expected to-prorogue on Thursday of this week
1895-01-10, huraday,  huraday last. He selected for the basis tinetc friends. It is to adorn the annal.
1895-01-10, the day,  now. as in the days of our Savior men a consideration of the career of him whose can see the mote in their neighbors' eyea life we may have under review while perhaps blind to the beam in their Can the word great be legitimately ap own. Public men live now more than plied to Sir John Thompson in any or all ever in the full light that ia cast around "f the various parts which he so honorably them from a hundred sources which did fulfilled? Undoubtedly some will answer not exist in vast ages. They cannot hide no either through a fear of being thought themselves behind the throne of their wanting in judicial acumen or perhaps
1895-01-10, every day,  open to the criticism of the people aa exist in any every day dress unless it ia
1895-01-10, first day,  (liven at .Sbawvlile this thirty-first day of the month of December 1894.
1895-01-10, Saturday,  early Saturday morning while the family
1895-01-10, Sunday,  lynched in Georgia on Sunday.
1895-01-10, the day,  change until the day of his death was i the wounds of the heart. More than this	DSDaPtlllOIlt
Binary file 1895-01-10,  matches
1895-01-17, Saturday,  .. $15000*0 uary at O. F. Hodgini.	On Saturday whilst Mrs. A.W. Smith break the road through to Bryson A Fra-
1895-01-17, Friday,  1! Ln.witidl* AU 0?ire.pondenceprompt- at North Clarendon on Friday s very Brownlee Joseph Oraveile Thoe. "	.	^	^
1895-01-17, Wednesday,  s fiait to Radford on Tuesday and return I his village came off rather more quietly ed Wednesday.	Piobon. than at one time seemed imminent i_
1895-01-17, Wednesday,  Will visit Bhawvllle on the second Wednesday of every month.
1895-01-17, Sunday,  carefully dry it or.t. Then it can be dressed. a^ was performed while the heme weri Sunday that the Chinese have throughout Nearly all the northern Chinese drew in Tilbury ie dead.
1895-01-17, every day,  lion warn very simple	and neither animal	ten to twelve hoar# every day and they	this kind and jackets and pantaloons of	more than 200 years old.
1895-01-17, third day,  off. It leaves no soar. In addition the elrength of the poison. It will have no system must be ola&nsed. This is e good effeolou them at when they are ready complexion beautifies One part sulphur t0 ive u eome of their blood a neck vein one part cream of Urter. one part rhubarb wifl be opened and some blood drawn off. nil powdered and well mixed. Dose for an This blood will be treated so as to separate adult one teaspoonful in a wine glass of tke c|ot from tke watery part or serum water upon rising in the morning. Take jhe latter * the autitoxine. every third day for one month.
1895-01-17, pay day,  hundred wholesale fur dealers with their A Lambeth hotelkeeper has been fined New Year iie the national pay day. All goods spread out on the ground and you $20 for allowing gambling on hie premises
1895-01-17, three day,  two tsblenpoonfule of powdered augur and ##til they	should run smoothly. Louis	young people go ih and pay homage to	She ie forced to fast three days then for	to attractive garniture ; if in November
1895-01-17, those day,  ble. Pour over it one quart of boiling table.	and all the officers go In and get down on I ceived this sum m cash.	were none in those days.
1895-01-17, Birthday,  Astrology and Birthdays.
1895-01-17, Friday,  The Manitoba Legislature le called for Dr. Dunnigan of Buffalo died Friday overwhelmed by no avalanche which de the despatch of buelneee on January 24th. of diphtheria. Anti-toxins failed to cure itroyed four houses and twelve barns. The
1895-01-17, other day,  The anti-toxine remedy for diphtheria has poit-office in the heart of Cincinnati the oide several dayeagoia a mostsxtraordinary or ltraw pressed firmly in pos proved successful in three cases at Chat- other day and escaped with the money. manner. He broke one of the large panes ditional protection ie given by the piece of ham Ont. and the physicians pronounce The hierarchy of the United States are <>f glass in the window of his room and board a which has a hole in it that fits it a great success.	taking decided etepi to reduce the Roman then placing Inn head through the hole J closely over the pump handle and during
1895-01-17, Wednesday,  Mr. William R. Cremer M.P.will leave %n a ietter written by Mr. Louis Steven-England on Wednesday with a memorial shortly prior to hi* .math he expressed signed by three hundred and forty-five the opinion that the only cure for Samoan members of the Houss of Commons in troubles was the annexation of tbs Islands favor of arbitration in all matters of die- * Great Britain.
1895-01-17, the day,  effective device which any orchard 1st can apply this one cannot be surpassed. It is an old-fashioned remedy bat it is as good to-day as it was in the days of our
1895-01-17, that day,  interested these Reform gentlemen were when the list is examined of "appoint menu of that day. We have only a par
1895-01-17, other day,  Lippert arrested the other day in Cin- S|r Krederiok Pollock oorpu. professor cinnatl for crimes committed in Cape of jurisprudence at Oxford and editor of the Colony.	Law Review has been chosen to be editor
1895-01-17, Saturday,  Women in the Glasgow shops according to a recent report receive from $1 or $1.28 to $3 a week ; hair-dressers milliners and tobaccoists may get $3.75. Overseers begin with $3 a week and may rise to $600 a year. One young woman in sole charge of a shop received $2 a week ; her hours were 124 on four days of the week 74 on one and 144 on one ; her meals were brought in to her ; there were no sanitary conveniences these being rare In Glasgow shops. Another worked from 9:30 a.m. till 10 p m. and on Saturdays till II for $1.75 a week and wss not allowed to go out for her meals.
1895-01-17, Sunday,  In several Europeon countries including France and Belgium elections are always held on Sunday.
1895-01-17, Saturday,  Mr. J. H. Brownlee proprietor of the Shawville skating rink wishes it to be / announced that he will give a carnival on ' Saturday night of this week to the boys and girls under 16 years of age. Admis sion to spectators over that age (except ticket holders who will be addiuitted free) will be 10 cents. The carnival will be open at 7 o'clock. Ice will be open to all skaters at half past 8 o'clock. It is hoped that a goodly number of the juvenile skaters of the village will avail themselves of this opportunity to appear in cos tume.
1895-01-17, holiday,  " Mr. W. H. Smiley ie spending his holidays with hie parents.
Binary file 1895-01-17,  matches
1895-01-17-01, the day,  Resolved 7 that whereas under a transfer by the Biie Djs Chaleurs Rail way company of a ptrtion of the subsidies granted by the Legislature for that railway duly notified to the Government the Ontario bank made advances to the said company to provide the means for carrying out its works and that notwithstanding the said notification the balance of the subsidies was by the Govern I..eut of the day paid to the other par
1895-01-17-01, Saturday,  One hundred miners were entombed by a colliery disaster at Hantley England ou Saturday.
Binary file 1895-01-17-01,  matches
1895-01-31, Wednesday,  Will visit Shawville on the second Wednesday of every month.
1895-01-31, Wednesday,  3e0 Cloth and Healette Mantles and Capes of I X Quebec Government official went up  On Wednesday the 16th a large num
1895-01-31, few day,  Mias Fanny Hill is spending a few days visiting her parents.
1895-01-31, Sunday,  operatic star is critically	ill in London	Sunday night. Nobody was killed and ^ end they will be sufferers to a greater seems to them in moments of sudden ter-
1895-01-31, Monday,  On Monday Hon. William 11 arty tie
1895-01-31, the day,  1833 he came with his parents from Eng- konzie Bowel!	These were the days	!	er for a moment questioned.	every prospect of as thick a growth
1895-01-31, Friday,  on Friday morning mangled the driver and horse in a frightful way and smashed the cutter into kindling wood. The express is timed to arrive here from Sarnia at 4.02 a. m. and was to make up a little time and rushed past
1895-01-31, Wedneaday,  There was a goodly representation of Pontiackers at the Ottawa Carnival last Week especially during the closing days of that noteworthy and reoiaikabiy sue Cvssful affair and from ihe appeaianCe of the Capital at noun on Friday one might reasonably conclude that all parts of Canada as well as Pontiac were largely represented. Sucii an immense throng of peo pie was never before witnessed in the Wedneaday 26th Inst. the wife of Mr. J streets of Ottawa During the progress t iloi m r <>f n won
Binary file 1895-01-31,  matches
1895-02-07, nesday,  nesday of every month
1895-02-07, 3W day,  /K" il"? a f<3W daye Wlth Mim McLean hour the train arrived at McKees cross-
1895-02-07, Wednesday,  Smart a last Wednesday evening waa well attended and appreciated. The meeting will be held at Mr. William
1895-02-07, today,  Thorne.	| Mrs. Rimer of the Fort is visiting to Ottawa today	J
1895-02-07, the day,  Sunday night last?	Rag bees is the order of the day. Mrs	8ormw nnbiighM by sin endeBied.
1895-02-07, July day,  When I was a child and even last sum  1 used to think a July day could not
1895-02-07, yesterday,  I have only lately discovered what it is to have nerves ; and since I made that discovery 1 seem to have nothing but Mother asked rne yesterday what had beef my sweet temper. She hardly
1895-02-07, a day,  my stomach relieved and after I had used ten boxes the pain wu entirely gone and 1 now feel like a new man. I can now work half a day at a time without fatigue and u I am still using the pills I confidently expect as I have every right to do from the great results thus far to be able to do my work as formerly. I am 57 years of age . .. . .	. 	and before the attack eight years ago I
1895-02-07, Monday,  On Monday 28th January Hon Mr.
1895-02-07, Wednesday,  Wednesday the
1895-02-07, Wednesday,  The Toronto Mail of Wednesday con	and Mrs Wlthorspoon continues	her enter-
1895-02-07, Thursday,  Sir Donald Smith visited Cambridge University on Thursday probably in connection with the selection of a new principal for McGill University.
1895-02-07, Wednesday,  The Government barge Petrel laden with powder shot and shell blew up at Gravesend Kng. on Wednesday and no trace of the crew can be found.
1895-02-07, Thursday,  On Thursday night the First Congre-
1895-02-07, & day,  eUM01	Mr.	Justin	McCarthy in his manifesto months that they do not grow in nature. p*ver' should be *ramovod'mry& day1 no
1895-02-07, Saturday,  Dr. Alfred L. Loomis the eminent phy library is dead.	while in custody on Saturday. The un for- their past would have little chance of find*
1895-02-07, Thursday,  A letter in the St. James' Gazette on Thursday advocated the appointment of Captain Mahan of the United States navy to the Regius Professorship of History at Cambridge University in succession to Prof. Seeley recently deceased.
1895-02-07, The day,  like about the way Mr. Astor dealt with the florist. The day before the funeral he
1895-02-07, Tuesday,  The Governor General and Lady A her- division of Worcester resulted on Tuesday deen were tendered a reception on Satur-
1895-02-07, Monday,  Ayes 83; nays 13.	A bomb warn exploded on Monday even- I water-tight compartments. The wheels being of the "submerged tenth." Its pity
1895-02-07, Wednesday,  Sir William Van Horne has returned to London from the Continent and leaves by the Teutonic next Wednesday.
1895-02-07, several day,  of sugar 1 tesepoonful of mustard and ) teaspoonful of salt. Boil four minutes stirring constantly. Use when cold. This will keep several days if kept from the air. It is a nice dressing for cabbage salad.
1895-02-07, two day,  On two days recently 800000 pounds o* pork were sold on the Chatham market.
1895-02-07, Friday,  Judge Gayner in the Supreme Court Brooklyn on Friday morning reserved his decision on application for a writ of mandamus to compel the Brooklyn Heights railroad to run cars.
1895-02-07, One day,  One day while in the field we encountered
1895-02-07, Sunday,  Father was a pre usher and very strict regarding the Sabbath. We got the oats cut and in shock when a protracted rain came and we could not get them in. Sunday was a fine day and the oats got dry. Father went away to preach and when we got home from Sunday school I suggested to my brother that we get in the oats. Saying nothing to mother we yoked up the oxen hitched to the wag'-n loaded the oats and drove to the barn. When father came and saw what we had done we got a good scolding and a threatened whipping if the like occurred again. We thought at the same time he was glad the oats were in.
1895-02-07, One day,  We had a fine yearling heifer fat and as sleek as a mole. One day a neighbor while bunting found her stretched out in ooo windrowing dead. He helped us take off the hide which we got tanned and from the leather our first boots were made.
1895-02-07, any day,  Mayor Schieren expressed his opinion that the strike was over so far as it would affect the convenience of the public. Col. Appleton of the 7th Regiment said he peeled to be relieved from detail very soon. Master Workman Connelly still maintains that the strikers will win but a dozen strikers applied to the Brooklyn City railroad on Friday for reinstatement and were put to work. Street car officials say that they will be glad to take back old men but they will not be allowed to displace the new ones taken on. More cars were running on Friday than on any day since the
1895-02-07, the day,  James Wilson	2.H6.	E. Holstein	8 *b	Hay drawing is the order of the day.
Binary file 1895-02-07,  matches
1895-02-14, Monday,  To create an appetite and give tone to P*rt8 of the country on Monday digging hey W1 1 >e eod wllhout reserve. /
1895-02-14, Tuesday,  XTOTART PUBLIC. Clerk of the Magi Xv Oourtat Hhawvllle . Agent for the Credl 3ler franco Canadian. Money to lend on easy terme gW Will be In Shawvllle from Monday till Friday of each week. Will visit Quyoti the second Tuesday of sash month
1895-02-14, inesday,  On W&inesday of last we*k the annual election of Officers for the County Orange Lodge took place in this village with the following result :
1895-02-14, Friday,  husband with a daughter <>n Friday 8th. since fall.
1895-02-14, Monday,  Owing to storm of lamt week we were very ..	.	.section having appeared in Th# Equity nearly not getting any mall on Monday but
1895-02-14, Friday,  Mr. Wm. Clarke was the purchaser of where was the little hag o Friday a fine team lant week. Now is your	while the mail team was driving
1895-02-14, Saturday,  It was midnight when the train reach- The report that our til.ck.mith had T 	. ^		. ed McKees station on Saturday night diphthen# is I am glad to ##y untrue. H*
1895-02-14, out day,  As Clara	Arden	anticipated	dinner	was	y did uot confide hie sorrows to	me.	speculations about his motive. Whatever	out days of a good old age. This thought
1895-02-14, the day,  lit landscape garden and river meadow	How pcivoetu ly the days have slipped by	hour she learnt to read at my knees until
1895-02-14, rl
1895-02-14, other day,  other day by s rip saw. Stetson vu the A member of the stall ef The Canadian #?eryw ers*	not common waehed-oul wines but are old
1895-02-14, to day,  Arthur Balfour Unionist leader in closing the debate on the amendment to day gave the details of the industrial distress in Lancashire. He said that the country stood face to face with a nnan cial agricultural and commercial crisis. The consequent demand upon the Gov-eminent was therefore to consider am and in the light of the best opinions  the circumstances affecting the country s social condition. By quick action much misfortune might be prevented.	f
1895-02-14, Tuesday,  A second utterance in the same line :omes from New Brunswick another pro yince with a Liberal premier and a Liber #1 majority in control of its a if lira. In his budget address on Tuesday Hon. |{r Mitchell told the Legislature that
1895-02-14, these day,  DO VO In these days when the sin of evil habit# sre DU I U bo prevalent when thousand# of fount men are wreckedby the bad habita of self abase Todssos. Tea and Spirits these PUls are a sure prevention and
1895-02-14, Wednesday,  Is hereby given that on Wednesday the
1895-02-14, previous day,  On the previous day the Supreme Chief Ranger had written the following letter to M V. Morin notary the new High Chief Ranger who was then preparing the French edition of our regulations :
1895-02-14, following day,  The original of that letter was immediately transmitted to me and I addressed it to the Bishop of Quebec on the following day. Some time after I received the following letter :
1895-02-14, Saturday,  Queen's avenue Methodist church in ronto. In the meunlitns the town has London warn destroyed by tire on Saturday nothing but the Thames river water to night	drink.
1895-02-14, Tuesday,  Thomas Ringer was found frozen stiff on Hamilton bay on Tuesday and foul play is suspected.
1895-02-14, Thuraday,  Mr. J. 0. Kowaod . farmer living near|ou Thuraday. -Vhen a<ke.l what hi.clients
1895-02-14, Friday,  Melvin McPherson fell 40 feet from a London last week on the prospect of au tree in the bush near Su Catharines Friday | American loan and broke hie neck.
1895-02-14, Saturday,  Hon. L^ecil K bodes Premier of Cape Colony John M. Lord the collecter of London I was on Saturday sworn in as a member of West has boon committed for trial He is | the hi penal Privy Council.
1895-02-14, Wednesday,  The colossal battleship Majesty Mr. James Gibson a highly respected I launched at Portsmouth on Wednesday citizen of Herlin Ont*died of heart failure The vessel was christened by the March ion-
1895-02-14, Thursday,  The Prince of Wales presided at a meeting of the Colonial Institute hi London on Thursday wh u Mr. Jameson spoke on South African alfurs.
1895-02-14, Sunday,  The annual debate between Toronto and McGill universities took place in Montreal I There was a heavy snowfall throughout Friday night. Toronto winning the deoi- England on Sunday night and intensely sion.	I cold weather prevailed. In Lincolnshire
1895-02-14, Sunday,  Mr. Jacob H. Burkhoidei who H _ clerk of the township of Barton for forty yeara died on Sunday at Bar ton ville Ont. in hia ninety-third year.
1895-02-14, s day,  Preliminary steps were taken at a meeting held in Toronto the other night to form a permanent provincial o gaoization for the better observance of the Lord's day.
1895-02-14, Saturday,  Three world's records were lowered at the Canadian skating championship races at Montreal on Saturday. The events were  . divided between Johnson Davidson and ^own lo H2J61.Jb6.
1895-02-14, Tuesday,  Master was committed for trial for a The will of the late James G tv	teriahze^ Money is cheap and the cm- Tuesday Senor Molinas a member from been accumulated. There i. little sign of
1895-02-14, Thursday,  Ward McAllister died in New York on Thursday night.
1895-02-14, Thursday,  While three boys were playing in a snow house which they had built in Montreal on Thursday the roof and the walls collapsed and before rescued Leopold Gmgras aged fourteen oue of the lads was suffocated.
1895-02-14, a day,  . A mistake is often made by keep- quarter teaepoonful of pepper then the ing the bird for hours in the glaring suo- whites of the eggs. Pour this over nicely light. An hour of sunshine a day is butterei toast sprinkle the yolks over the sufficient and there should be caution top dust with salt and pepper end serve against exposing the cage to the draughts of the sunniest window.
1895-02-14, three day,  A simple remedy is to let twoorthree drops Mix quic\\y and |lghtly and heap into a of castor oil float on the drinking water baking dish. Dust thickly with powdered and then feed the invalid on hemp for two lugar and bake in a quick oven hve or six or three days. If Dtokie persistently re
1895-02-14, Saturday,  on Saturday morningin the squalid quarters occupied by Dr. Horace Eliot Pope and his
1895-02-14, Sunday,  Work ha. been commenced on the new	Miee Grace French a Sunday school ubta *	on after having put up
1895-02-14, Saturday,  the dissecting room with one .ootcu a	WIlford Woodruff President of the commi6tee held a meeting here on Saturday	__	ihe University of California. He came to
1895-02-14, other day,  A minister in Williamsburg N. Y.found in hie mail the other day a cheque for $10.
1895-02-14,  It ia said that Princess Maud of Wales is betrothed to Prince vf Naples.
1895-02-14, Monday,  ^ Rev* Mr Flanagan paid usa flying visit on Monday last.	L  	
1895-02-14, Widnesday,  Widnesday Felroary 616
Binary file 1895-02-14,  matches
1895-02-21, Thursday,  Shawville L. C. Concert Thursday March 7th. Masonic Hall Shawville.
1895-02-21, Wednesday,  A great many people are talking of attending the Gibbons auction sale which began on Wednesday. To mis* the unprecedented bargains that will there be offered will be
1895-02-21, Sunday,  Consultations at all hours Free Consultation to poor on Sundays from 10 to 11 a. m.
1895-02-21, Sunday,  Messrs. D. W. Budd and Jaa. Mat he sonof Renfrew were in town on Sunday.
1895-02-21, Monday,  Misses M. Rimer and Ada McRae of Bryson were in town on Monday.
1895-02-21, Tuesday,  XTOTARY PUBLIC. Clerk of the Maglitratea .W CourtatShaw ville. Agent for the Credit Foncier franco Canadian. Money to lend on easy terms. |g- Will be In Mhawvllle from Monday till Friday of each week. Will visit Quyon the second Tuesday of #aeh month
1895-02-21, Friday,  The publication of Turn Equity was delayed last week till Friday owing to the non-arrival of our paper from Toronto at the proper time.
1895-02-21, Sunday,  pork packers of Montreal intend to pur-1 The general quarterly meeting of the chase a farm near Renfrew buy skim Methodist church here adjourned from milk from the Creamery patrons and go I Sunday the 10th insfc.on account of bad largely into hog raising.	| roads will be held on Sunday next 24th
1895-02-21, Wednesday,  Will visit Shawvllle on tbe second Wednesday of every month.
1895-02-21, to day,  Tbe great sale of effects and stock of the late Edward Gibbons of Onslow commenced on Wednesday and will continue from day to day until all the large stock Is dispos- 1	\ lady living
1895-02-21, a day,  edof. If you want the best bargains ever her teeth extracted for the purpose of procured by all means spend a day or two gettjn3 an artificial supply of those use at thin Haie.	ful articles ; but strange to say nature is
1895-02-21, Friday,  Mrs. Warren Campbell and baby Bry son who have been visiting here for some time left for Quyon Friday.
1895-02-21, Wednesday,  The Misses Duff of Glengyle spent one occasion publicly boasted that he Wednesday afternoon at Mr Dan.Smith'a would not take off hie hat to the Queen What takes that fiery little grey horse or any other woman
1895-02-21, Sunday,  Mr. and Mrs. Silas Young of Shaw-ville were the guests of Mr. and Mr# Smiley on Sunday.
1895-02-21, Friday,  A week ago Friday Samuel Lanore of Cannan in Russell County about twenty miles from Ottawa met with a peculiar a% '	it-.	| accident from which he had since died
1895-02-21, Tuesday,  * nearly a mile Lvnore had to walk home alone. Until Tuesday he suffered awful agony. He was 36 years of age and leaves a widow with five email child-the oldest eleven veers. The widow
1895-02-21, few day,  meianifinant railway between the southern-	would hold out no longer and when it	more seductive io his riper years than a	ease and luxury jewels and flowers too well	that a difference of a few days in the time
1895-02-21, following day,  Dolores submitted with an air of indifference and Perez departed promising to fetch the jewel-case on the following day.
1895-02-21, e day,  not a trick of the Stock Kxch-m-e which She wrote him a piteous letter about a ^e day to tell her that he was going to
1895-02-21, Thureday,  Clerk of the Crown-in-Chanoery from nil on Thureday from Ruwla where ahe has leader of a mob on tilth avenue was alao	(r^ the tbird et0 directly
1895-02-21, Friday,  Friday afternoon making the quickest pas-	W iliam Harcourt has announced	general.	were found by the detectives and arrested
1895-02-21, Tuesday,  Jean Baptiste Society for many years is to mitigate their situation. The inquiry By SD expioaivu at the St. Eugiene col-expected shortly to retire.	he maid would extend to the provinces. fiery in France on Tuesday between 20
1895-02-21, Monday,  Ministerial majority was reduced to two. to obtain life insurance has appealed from The Canadian Pacific Railway Company The Parnellitee voted against the Govern- the sentence on Monday lookback to work in the Sion- ment.	The remains of Gen. Boulanger who
1895-02-21, until day,  then proceeded in the direction of London. New Zealand has set apart two islands Capfc. Gordon mays notwithstanding the for the preservation of its remarkable wild disabled condition of the Crathie he re- birds and other animale. All hunting mained in the vicinity until daybreak. and trapping are forbidden thereon.
1895-02-21, nowaday,  Parliament ought to be taken without de paid to organize and incite dynamite out-1 knows. My brother ami I felt keenly the Sugar is so cheap nowadays that the pro-
1895-02-21, Wednesday,  The Crown has been deliberating for the past day or two upon the new evidence adduced in this strange ease and It was only at 5 o'clock on Wednesday evening after a lengthy ooneultation between Crowd Attorney Curry Coroner Aikins and Inspector Stark that Detective Cuddy instructed to swear out a warrant be Mr. Hugh Miller J. P. charged that the accused "on January 16 1893 did feloniously wilfully and with malice aforethought kill and murder William C. Wells."
1895-02-21, Thursday,  Detectives Cuddy and Davis immediately set out in quest of tbsir men and found them as already described. The prisoners were taken over to Agnes street police station and after a brief detention were sent to the gaol. They appeared at the Police Court on Thursday morning but the proceedings were of % formal character and a remand granted for a week.
1895-02-21, Saturday,  A despatch from Port Hope says Trinity College School was burned Saturday night The alarm was sounded a few minutes before 12. A terrific gale was blowing from the west and it was some time before help arrived.
1895-02-21, holiday,  ___I were taking ont some life iasur- until the Easter holidays at least or until
1895-02-21, Thursday,  officer of the Royal Grenadiers Canadian militia and well and popularly known in the service died at his residsnoe at Toronto on Thursday morning.
1895-02-21, other day,  Mr. F. K. Kilvert oui lector of customs at Hamilton has gone to Ottawa to take the place of Mr. T. J. Watters who was arrested the other day an charges of misappropriating
1895-02-21, Thursday,  J K. W. Maofarlane manager of the British Columbia Iron Works Society Vancouver B. C. was arrested on Thursday on the charge of attempting to bribe Aid. McCraney in order to secure the contract for the city's electric light plant.
1895-02-21, Saturday,  The Etruria which arrived at Queenstown on Saturday reports that she saw no of the overdue French line steamer La
1895-02-21, Saturday,  By the decisive vote of thirty-six to twenty-five the United States Senate on Saturday voted to inaugurate the project of laying a cable from the Pacific coast to
1895-02-21, other day,  With regard to the proposed Atlantic and Lake Superior railway Mr. Foster Minister of Finance stated the other day that the Government had simply agreed to give the company three par cent on such money as they might deposit for the purpose of paying interest on their
1895-02-21, Thursday,  The Rev. Wm Booth General of the Salvation Army waited up BoweM on Thursday at Tc
1895-02-21, Birthday,  A Lucky Birthday for Him.
1895-02-21, Wednesday,  The Manitoba Legislature opened Wednesday last.
1895-02-21, Thursday,  On Thursday last the house of repres- ^ the policy that indicated such a charge
1895-02-21, Friday,  Russell James Armstrong Janies Hart of the four previous years and James Wjlsou of Clarendon constitu- pretty good indication than Canadian ted a deputation of Patrons to interview whirkey is gaining favor abroad. The Mr. D. Gillies whilst that gentleman total revenue accrued from spirits was $4 was in town on Friday night last with	133637 which is $87*120 more than the
1895-02-21, Friday,  held at Pembroke on Friday next Feb. *be temperate s me in fact have been
1895-02-21, Sunday,  the iron. Dress out the scantling with bald on Sunday.
1895-02-21, the day,  IN WITNESS WHEREOF we have hereunto subscribed our respective names in the city of New York the day and year above written.
1895-02-21, living day,  For a living day by day
1895-02-21, some day,  And some day they will understand	553 M against $96900 in 1893. In 1893
Binary file 1895-02-21,  matches
1895-02-28, Thursday,  Hhawville L. C. Concert. Thursday March 7th. Masonic Hall Shawville.
1895-02-28, urday,  Our sympathies are with Mr. and Mrs. M. E. O'Meara of Quvon in the loss of their infant son which urday morning from a severe cold.
1895-02-28, few day,  The Am prior Chronicle mays first two contracts for construction on the O  A. & P. S. Ry. west of Long Lake of ten miles each has been awarded. The first to Mr. E. F. Fauquier and the second to Messrs. O'Neill & Ferguson. Mr. Fauquier immediately afterwards sub let his contract the rock and earth work to Mr. D. It McDonald and the bridge and cul bert work to Messrs. Bruder & Me Naughton. It is said that the whole length of these two contracts with the exception of two miles can be reached by navigable water which will be of great bdnetit to the contractors in their work as the country is very rough and there are no roads. It is expected that a third contract will be issued in a few days.
1895-02-28, Sunday,  g-ff- Consultations at all hours Free Consultation to poor on Sundays from 10 to 12 a. m.
